raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_detail_count,source_image_range,concept_ids
M2_LE_RAW_020,7,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,A=B=C 꼴의 방정식 풀이,C가 상수인 경우|C가 식인 경우|두 등식으로 분리하기,14,7.png,M2_LE_C014
M2_LE_RAW_021,7,2-1 방정식,연립방정식,해와 조건,해를 알 때 미지수 값 구하기,해의 일부가 주어진 경우|해가 주어진 경우|해의 조건이 주어진 경우,12,7.png,M2_LE_C015|M2_LE_C016
M2_LE_RAW_022,7,2-1 방정식,연립방정식,해와 조건,해와 조건식: 일차방정식 조건,미지수를 포함한 연립방정식|미지수를 포함한 일차방정식|미지수를 포함한 연립방정식과 일차방정식|연립방정식의 해를 한 해로 갖는 일차방정식,17,7.png,M2_LE_C016
M2_LE_RAW_023,8,2-1 방정식,연립방정식,해와 조건,"해와 조건식: x,y 조건식","x,y값의 비 또는 배수 관계|x,y값의 합 또는 차|x값과 y값 사이의 관계|x,y의 절댓값이 같은 경우|새롭게 정의된 기호의 이용|x값과 y값의 조건이 주어진 경우",26,8.png,M2_LE_C016
M2_LE_RAW_024,8,2-1 방정식,연립방정식,해와 조건,계수 또는 상수항을 잘못 보고 구한 해,x의 계수 또는 y의 계수 오류|미지수를 서로 바꾸어 본 경우|잘못 본 해를 이용한 원래값 찾기,12,8.png,M2_LE_C018
M2_LE_RAW_025,8,2-1 방정식,연립방정식,해와 조건,해가 같은 두 연립방정식에서 미지수 값,해가 서로 같은 경우|해 사이에 조건이 주어진 경우|공통해를 이용한 계수 구하기,13,8.png,M2_LE_C015|M2_LE_C016|M2_LE_C018
M2_LE_RAW_026,9,2-1 방정식,연립방정식,특수해,해가 무수히 많은 경우,연립방정식의 해 구하기|연립방정식의 미지수 구하기|해가 무수히 많은 연립방정식 고르기|미지수 조건 판단,18,9.png,M2_LE_C017
M2_LE_RAW_027,9,2-1 방정식,연립방정식,특수해,해가 없는 경우,연립방정식의 해 구하기|해가 없는 연립방정식 고르기|연립방정식의 미지수 구하기|해가 없는 조건|연립방정식에 대한 설명,20,9.png,M2_LE_C017
M2_LE_RAW_028,10,2-1 방정식,연립방정식의 활용,수에 대한 문제,수의 연산 문제,연립방정식을 이용한 두 수를 구하는 과정|연립방정식을 이용한 두 수 구하기|합과 차 또는 배수 조건,13,10.png,M2_LE_C019
M2_LE_RAW_029,10,2-1 방정식,연립방정식의 활용,수에 대한 문제,두 자리 또는 세 자리 자연수 문제,연립방정식을 이용하여 수 구하기|실생활에의 활용|수의 특정 자리 숫자 구하기,14,10.png,M2_LE_C020
M2_LE_RAW_030,10,2-1 방정식,연립방정식의 활용,평균 문제,평균에 대한 문제,두 그룹에 대한 평균|세 그룹에 대한 평균|시험 점수 평균,12,10.png,M2_LE_C021
M2_LE_RAW_031,11,2-1 방정식,연립방정식의 활용,가격과 개수,가격과 개수: 개수 구하기,연립방정식으로 나타내기|문장으로 주어진 경우|표 또는 그림이 함께 주어진 경우,13,11.png,M2_LE_C022
M2_LE_RAW_032,11,2-1 방정식,연립방정식의 활용,가격과 개수,가격과 개수: 가격 구하기,문장으로 주어진 가격 구하기|표 또는 그림에서 가격 구하기|총액 조건 활용,14,11.png,M2_LE_C022
M2_LE_RAW_033,11,2-1 방정식,연립방정식의 활용,여러 가지 개수,여러 가지 개수 문제,연립방정식으로 나타내기|연립방정식을 이용한 개수 구하기|대상별 개수와 총합,12,11.png,M2_LE_C023
M2_LE_RAW_034,11,2-1 방정식,연립방정식의 활용,나이,나이에 대한 문제,연립방정식으로 나타내기|합 또는 차가 주어진 경우|배수 관계가 포함된 경우,13,11.png,M2_LE_C024
M2_LE_RAW_035,12,2-1 방정식,연립방정식의 활용,비율,비율에 대한 문제,분수로 주어진 경우|퍼센트로 주어진 경우|비가 주어진 경우,14,12.png,M2_LE_C025
M2_LE_RAW_036,12,2-1 방정식,연립방정식의 활용,길이,끈의 길이에 대한 문제,끈을 나누는 경우|길이 합 조건|부분 길이 구하기,12,12.png,M2_LE_C026
M2_LE_RAW_037,12,2-1 방정식,연립방정식의 활용,도형,도형에 대한 문제,연립방정식으로 나타내기|변의 길이 구하기|넓이 구하기|사각형 여러 개로 만든 직사각형|각도 구하기,21,12.png,M2_LE_C027
M2_LE_RAW_038,13,2-1 방정식,연립방정식의 활용,득점·감점,"득점, 감점에 대한 문제",연립방정식으로 나타내기|득점과 감점이 있는 경우|득점이 있는 경우,14,13.png,M2_LE_C028
M2_LE_RAW_039,13,2-1 방정식,연립방정식의 활용,분배,분배에 대한 문제,연립방정식을 이용한 분배: 문자 2개|연립방정식을 이용한 분배: 문자 3개|남거나 부족한 조건,12,13.png,M2_LE_C029
M2_LE_RAW_040,13,2-1 방정식,연립방정식의 활용,계단,계단에 대한 문제,비기는 경우를 제외|비기는 경우 포함|칸 수와 횟수 관계,13,13.png,M2_LE_C030
M2_LE_RAW_041,13,2-1 방정식,연립방정식의 활용,증가·감소,"증가, 감소에 대한 문제",연립방정식으로 나타내기|두 물품값 비교|두 그룹의 사람 수 비교|두 값의 비교,18,13.png,M2_LE_C031
M2_LE_RAW_042,14,2-1 방정식,연립방정식의 활용,이익·할인,"이익, 할인에 대한 문제",연립방정식으로 나타내기|표가 주어진 경우|이익률이 주어진 경우|할인을 포함하는 경우,16,14.png,M2_LE_C032
M2_LE_RAW_043,14,2-1 방정식,연립방정식의 활용,일,일에 대한 문제,두 사람이 각자 일하는 경우|동시에 일하는 시간을 포함한 경우|전체 일을 1로 두기,13,14.png,M2_LE_C033
M2_LE_RAW_044,14,2-1 방정식,연립방정식의 활용,무게,저울(무게)에 대한 문제,연립방정식을 이용한 무게|저울 평형 조건|물건별 무게 구하기,14,14.png,M2_LE_C034
M2_LE_RAW_045,15,2-1 방정식,연립방정식의 활용,속력,도중에 속력이 바뀌는 문제,빈칸 채우기|연립방정식으로 나타내기|거리 구하기|속력 구하기|쉬는 시간이 있는 경우,20,15.png,M2_LE_C035|M2_LE_C036
M2_LE_RAW_046,15,2-1 방정식,연립방정식의 활용,왕복,왕복에 대한 문제,연립방정식을 이용한 왕복의 빈칸 채우기|연립방정식으로 나타내기|거리 구하기|시간 구하기|속력 구하기,21,15.png,M2_LE_C035|M2_LE_C036
M2_LE_RAW_047,16,2-1 방정식,연립방정식의 활용,동시 출발,마주 보고 동시에 출발하는 문제,거리 구하기|시간 구하기|속력 구하기|서로 다른 시각에 출발하는 경우,18,16.png,M2_LE_C035
M2_LE_RAW_048,16,2-1 방정식,연립방정식의 활용,동시 출발,같은 방향으로 출발하여 만나는 문제,연립방정식으로 나타내기|소요시간 구하기|거리 구하기,12,16.png,M2_LE_C035|M2_LE_C036
M2_LE_RAW_049,16,2-1 방정식,연립방정식의 활용,트랙,트랙을 도는 문제,같은 방향과 반대 방향으로 도는 경우|서로 반대 방향으로 도는 경우|속력 차와 합 이용,13,16.png,M2_LE_C035
M2_LE_RAW_050,16,2-1 방정식,연립방정식의 활용,강물,강물에 대한 문제,속력 구하기|거리 구하기|소요 시간 구하기,14,16.png,M2_LE_C035
M2_LE_RAW_051,17,2-1 방정식,연립방정식의 활용,기차,기차에 대한 문제,기차의 터널 통과에 대한 문제|속력 또는 길이에 대한 조건이 주어진 경우|통과거리 이해,12,17.png,M2_LE_C035
M2_LE_RAW_052,17,2-1 방정식,연립방정식의 활용,소금물,소금물 또는 소금의 양을 구하는 문제,연립방정식으로 나타내기|두 소금물의 혼합|물 또는 소금 추가|일부를 덜어낸 후 혼합|증발 또는 추가 투입,21,17.png,M2_LE_C036
M2_LE_RAW_053,17,2-1 방정식,연립방정식의 활용,농도·혼합,소금물의 농도 및 합금·식품 문제,두 소금물의 혼합물의 농도|두 소금물을 서로 바꾸어 혼합하는 경우의 농도|합금에 대한 문제|식품에 대한 문제,18,17.png,M2_LE_C036|M2_LE_C037
