raw_section_id,chapter,domain,subdomain,task_group,concept_ids,status
M3_TRIG_RAW_011,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_C011,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_012,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_C012,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_013,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기,M3_TRIG_C013,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_014,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,직선의 기울기와 삼각비의 값,M3_TRIG_C014,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_015,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,특수한 각의 삼각비의 도형에의 활용,M3_TRIG_C015,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_016,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,사분원을 이용한 삼각비의 값,M3_TRIG_C016,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_017,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,"특수한 각(0˚, 90˚)의 삼각비의 값",M3_TRIG_C017,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_018,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,삼각비의 값의 대소 관계,M3_TRIG_C018,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_019,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,삼각비의 값의 대소 관계를 이용한 식의 계산,M3_TRIG_C019,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_020,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,삼각비의 표(1); 삼각비의 값,M3_TRIG_C020,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_021,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,삼각비의 표(2); 각의 크기,M3_TRIG_C021,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_022,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,삼각비의 표(3); 변의 길이,M3_TRIG_C022,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_023,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,직각삼각형의 변의 길이,M3_TRIG_C023,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_024,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,입체도형에서 직각삼각형의 변의 길이의 활용,M3_TRIG_C024,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_025,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,실생활에서 직각삼각형의 변의 길이,M3_TRIG_C025,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_026,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,실생활에서 직각삼각형의 변의 길이의 활용,M3_TRIG_C026,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_027,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,일반 삼각형의 변의 길이(1); 두 변의 길이와 그 끼인각의 크기를 알 때,M3_TRIG_C027,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_028,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,일반 삼각형의 변의 길이(2); 한 변의 길이와 그 양 끝 각의 크기를 알 때,M3_TRIG_C028,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_029,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,예각삼각형의 높이,M3_TRIG_C029,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_030,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,둔각삼각형의 높이,M3_TRIG_C030,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_031,중3 삼각비,삼각비를 이용한 길이,평면·입체·실생활의 길이,예각삼각형의 넓이,M3_TRIG_C031,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_032,중3 삼각비,삼각비를 이용한 넓이,삼각형·다각형·사각형의 넓이,둔각삼각형의 넓이,M3_TRIG_C032,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_033,중3 삼각비,삼각비를 이용한 넓이,삼각형·다각형·사각형의 넓이,다각형의 넓이,M3_TRIG_C033,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_034,중3 삼각비,삼각비를 이용한 넓이,삼각형·다각형·사각형의 넓이,정다각형의 넓이,M3_TRIG_C034,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_035,중3 삼각비,삼각비를 이용한 넓이,삼각형·다각형·사각형의 넓이,평행사변형의 넓이,M3_TRIG_C035,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_036,중3 삼각비,삼각비를 이용한 넓이,삼각형·다각형·사각형의 넓이,사각형의 넓이,M3_TRIG_C036,canonical structure restored; copyrighted textbook/problem text not stored
