raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids
H1_CM1_EQINEQ_RAW_011,11,공통수학1 방정식과 부등식,복소수와 이차방정식,특수 이차방정식,한 근이 주어진 이차방정식과 특수기호 방정식,한 근이 주어진 이차방정식|무리수를 이용한 이차방정식|허근을 갖는 이차방정식|절댓값 기호 포함|가우스 기호 포함,12,39,11.png,H1_CM1_EQINEQ_C013|H1_CM1_EQINEQ_C014|H1_CM1_EQINEQ_C022|H1_CM1_EQINEQ_C025
H1_CM1_EQINEQ_RAW_012,12,공통수학1 방정식과 부등식,복소수와 이차방정식,활용,이차방정식의 활용,직사각형 길이와 넓이|도형의 가로·세로|길을 만들 때|실생활 모델링,5,28,12.png,H1_CM1_EQINEQ_C015
H1_CM1_EQINEQ_RAW_013,13,공통수학1 방정식과 부등식,복소수와 이차방정식,판별식,이차방정식의 근의 판별,근의 개수 판별|중근 조건|판별식 조건으로 미지수 구하기|최댓값·최솟값 조건,5,37,13.png,H1_CM1_EQINEQ_C016|H1_CM1_EQINEQ_C017|H1_CM1_EQINEQ_C018
H1_CM1_EQINEQ_RAW_014,14,공통수학1 방정식과 부등식,복소수와 이차방정식,판별식,계수가 문자인 이차방정식의 근의 판별,미지수가 포함된 판별|범위가 주어진 판별|두 미지수 관계|세 미지수 조건,7,28,14.png,H1_CM1_EQINEQ_C016|H1_CM1_EQINEQ_C017
H1_CM1_EQINEQ_RAW_015,14|15,공통수학1 방정식과 부등식,복소수와 이차방정식,판별식,완전제곱식과 중근 조건,완전제곱식이 되도록 하는 미지수|k값에 관계없이 완전제곱식|두 미지수·세 미지수 중근,5,25,14.png~15.png,H1_CM1_EQINEQ_C018|H1_CM1_EQINEQ_C016
H1_CM1_EQINEQ_RAW_016,15,공통수학1 방정식과 부등식,복소수와 이차방정식,근과 계수,이차방정식의 근과 계수의 관계,두 근의 합·곱·차 구하기|미정계수 구하기|두 근의 연산|분수꼴의 연산,4,49,15.png,H1_CM1_EQINEQ_C019|H1_CM1_EQINEQ_C020
H1_CM1_EQINEQ_RAW_017,16,공통수학1 방정식과 부등식,복소수와 이차방정식,미정계수,근 조건이 주어진 미정계수 결정,근의 비|두 근이 배수|두 근의 차|정수 또는 자연수 조건|두 근과 미지수의 조건,8,33,16.png,H1_CM1_EQINEQ_C019|H1_CM1_EQINEQ_C021
H1_CM1_EQINEQ_RAW_018,17,공통수학1 방정식과 부등식,복소수와 이차방정식,이차방정식 작성,두 수를 근으로 하는 이차방정식,두 수를 근으로 하는 이차방정식|주어진 식의 두 근의 연산|두 이차방정식의 한 근|도형과 이차방정식,7,48,17.png,H1_CM1_EQINEQ_C022|H1_CM1_EQINEQ_C019|H1_CM1_EQINEQ_C021
H1_CM1_EQINEQ_RAW_019,18,공통수학1 방정식과 부등식,복소수와 이차방정식,근 변환,f(x)=0의 근을 이용하여 f(ax+b)=0의 근 구하기,f(x)=0의 근 이용|f(ax+b)=0의 근 이용,2,7,18.png,H1_CM1_EQINEQ_C023
H1_CM1_EQINEQ_RAW_020,18,공통수학1 방정식과 부등식,복소수와 이차방정식,오류 역추론,잘못 보고 푼 이차방정식,잘못 보고 푼 근이 주어질 때|잘못 보고 푼 근의 합과 곱|근의 공식을 잘못 쓴 경우,3,14,18.png,H1_CM1_EQINEQ_C024
H1_CM1_EQINEQ_RAW_021,19,공통수학1 방정식과 부등식,복소수와 이차방정식,켤레근,이차방정식의 켤레근,유리수 계수의 두 근|새로 만든 이차방정식|실수 계수의 한 허근|분수꼴 조건,6,32,19.png,H1_CM1_EQINEQ_C025|H1_CM1_EQINEQ_C022
H1_CM1_EQINEQ_RAW_022,20,공통수학1 방정식과 부등식,이차방정식과 이차함수,그래프 선행,일차함수의 그래프,일차함수가 지나는 사분면|제한된 범위에서 부호 조건|양수·음수 구간,3,9,20.png,H1_CM1_EQINEQ_C026
H1_CM1_EQINEQ_RAW_023,21,공통수학1 방정식과 부등식,이차방정식과 이차함수,그래프 기본,이차함수의 그래프,꼭짓점과 축의 방정식|평행이동|계수의 부호|조건에 맞는 이차함수 식 구하기|함수의 성질을 활용한 방정식 해석,10,36,21.png,H1_CM1_EQINEQ_C027
H1_CM1_EQINEQ_RAW_024,22,공통수학1 방정식과 부등식,이차방정식과 이차함수,그래프와 x축,이차함수의 그래프와 x축의 교점,x축 교점 좌표|교점 거리|두 점 사이 거리|새롭게 정의된 이차방정식의 두 근의 합,6,30,22.png,H1_CM1_EQINEQ_C028
H1_CM1_EQINEQ_RAW_025,22,공통수학1 방정식과 부등식,이차방정식과 이차함수,그래프 활용,이차함수와 이차방정식의 활용,확률|도형|실생활,3,6,22.png,H1_CM1_EQINEQ_C027|H1_CM1_EQINEQ_C028|H1_CM1_EQINEQ_C034
H1_CM1_EQINEQ_RAW_026,23,공통수학1 방정식과 부등식,이차방정식과 이차함수,x축 위치관계,이차함수의 그래프와 x축의 위치 관계,서로 다른 두 점에서 만남|접함|만나지 않음|주어진 이차함수 조건,7,34,23.png,H1_CM1_EQINEQ_C028|H1_CM1_EQINEQ_C029|H1_CM1_EQINEQ_C016
H1_CM1_EQINEQ_RAW_027,24,공통수학1 방정식과 부등식,이차방정식과 이차함수,직선 교점,이차함수의 그래프와 직선의 교점,교점 좌표|교점의 연산|한 점의 좌표|두 교점 관계,4,21,24.png,H1_CM1_EQINEQ_C030
H1_CM1_EQINEQ_RAW_028,25|26,공통수학1 방정식과 부등식,이차방정식과 이차함수,직선 위치관계,이차함수 그래프와 직선의 위치 관계,이차함수와 직선이 만날 때|접할 때|만나지 않을 때|두 접선 조건|실생활 활용,20,71,25.png~26.png,H1_CM1_EQINEQ_C030|H1_CM1_EQINEQ_C031
H1_CM1_EQINEQ_RAW_029,26,공통수학1 방정식과 부등식,이차방정식과 이차함수,실근 그래프,절댓값 포함 방정식의 실근 개수와 함수 그래프,양의 근과 음의 근|서로 다른 두 실근|네 실근을 갖는 경우,3,4,26.png,H1_CM1_EQINEQ_C028|H1_CM1_EQINEQ_C029
H1_CM1_EQINEQ_RAW_030,26,공통수학1 방정식과 부등식,이차방정식과 이차함수,최대·최소,이차함수의 최대·최소,일반형을 표준형으로 바꾸기|표준형으로 주어진 이차함수|조건을 만족하는 이차함수,4,22,26.png,H1_CM1_EQINEQ_C032
H1_CM1_EQINEQ_RAW_031,27,공통수학1 방정식과 부등식,이차방정식과 이차함수,제한 범위,제한된 범위에서 이차함수의 최대·최소,표준형|일반형|조건을 만족하는 이차함수,3,27,27.png,H1_CM1_EQINEQ_C032
H1_CM1_EQINEQ_RAW_032,27,공통수학1 방정식과 부등식,이차방정식과 이차함수,최대최소 조건,최댓값 또는 최솟값이 주어졌을 때 미정계수 구하기,최댓값·최솟값 조건|제한 범위 최댓값|두 이차함수의 최댓값|여러 조건을 모두 만족,6,60,27.png,H1_CM1_EQINEQ_C032|H1_CM1_EQINEQ_C033
H1_CM1_EQINEQ_RAW_033,28|29,공통수학1 방정식과 부등식,이차방정식과 이차함수,최대최소 활용,이차함수 최대·최소의 활용,수직으로 쏘아 올린 물체 높이|가격과 판매량|도형에 내접하는 사각형|도형 넓이의 합,6,39,28.png~29.png,H1_CM1_EQINEQ_C034|H1_CM1_EQINEQ_C032
H1_CM1_EQINEQ_RAW_034,29,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,삼차방정식과 사차방정식의 풀이,삼차방정식의 풀이|사차방정식의 풀이|여러 가지 방정식의 풀이,3,52,29.png,H1_CM1_EQINEQ_C035
H1_CM1_EQINEQ_RAW_035,30,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,공통부분이 있는 삼차·사차방정식,공통부분이 바로 보이는 경우|공통부분이 바로 보이지 않는 경우,2,25,30.png,H1_CM1_EQINEQ_C036|H1_CM1_EQINEQ_C035
H1_CM1_EQINEQ_RAW_036,30,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,복이차식과 대칭 사차방정식,x⁴+ax²+b=0 꼴|계수가 대칭인 사차방정식|인수분해 되지 않는 복이차식,3,28,30.png,H1_CM1_EQINEQ_C037
H1_CM1_EQINEQ_RAW_037,30|31,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,근이 주어진 삼·사차방정식,삼차방정식의 한 근|서로 다른 두 근|중근|사차방정식의 한 근 또는 두 근,5,26,30.png~31.png,H1_CM1_EQINEQ_C038
H1_CM1_EQINEQ_RAW_038,31,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,삼차방정식의 근의 조건과 근과 계수의 관계,세 실근 조건|두 실근 조건|한 실근 조건|삼차방정식 근과 계수 관계|삼차방정식 작성,10,80,31.png,H1_CM1_EQINEQ_C039|H1_CM1_EQINEQ_C038
H1_CM1_EQINEQ_RAW_039,32,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식,삼차·사차방정식의 켤레근,유리수 계수의 두 근|실수 계수의 허근|사차방정식의 켤레근,7,38,32.png,H1_CM1_EQINEQ_C040|H1_CM1_EQINEQ_C025
H1_CM1_EQINEQ_RAW_040,33,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식 활용,"방정식 x³=1, x³=-1의 허근의 성질",허근에 대한 다항식 값|분수식 값|진위판단형·합답형,6,62,33.png,H1_CM1_EQINEQ_C040|H1_CM1_EQINEQ_C039
H1_CM1_EQINEQ_RAW_041,33,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,고차방정식 활용,삼차방정식과 사차방정식의 활용,원기둥·원뿔·구의 겉넓이|직육면체 부피와 겉넓이|평면도형 조건,3,25,33.png,H1_CM1_EQINEQ_C041
H1_CM1_EQINEQ_RAW_042,34,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,미지수가 2개인 연립이차방정식,연립이차방정식의 해|해가 존재하지 않거나 무수히 많은 경우,2,7,34.png,H1_CM1_EQINEQ_C042
H1_CM1_EQINEQ_RAW_043,34,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,미지수가 3개인 연립방정식과 활용,미지수 3개 연립방정식|특수한 꼴의 연립방정식|조건을 만족시키는 자연수|수의 평균·일의 양·농도,7,28,34.png,H1_CM1_EQINEQ_C043
H1_CM1_EQINEQ_RAW_044,35,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,일차방정식과 이차방정식으로 이루어진 연립방정식,연립이차방정식의 해|두 연립방정식이 주어진 경우,2,29,35.png,H1_CM1_EQINEQ_C044|H1_CM1_EQINEQ_C042
H1_CM1_EQINEQ_RAW_045,35,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,두 이차방정식으로 이루어진 연립이차방정식,ax²-by²=0 꼴|x²+bxy+cy²=0 꼴|그 외의 꼴,3,26,35.png,H1_CM1_EQINEQ_C045
H1_CM1_EQINEQ_RAW_046,35,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,상수항·대칭식으로 이루어진 연립이차방정식,상수항을 소거하는 경우|이차항을 소거하는 경우|대칭 연립방정식,4,29,35.png,H1_CM1_EQINEQ_C045|H1_CM1_EQINEQ_C043
H1_CM1_EQINEQ_RAW_047,36,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식,공통근을 갖는 이차방정식,두 이차방정식의 공통근 조건|세 이차방정식의 공통근 조건|오직 한 개의 공통근,4,18,36.png,H1_CM1_EQINEQ_C046
H1_CM1_EQINEQ_RAW_048,36,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립방정식 조건,연립이차방정식의 해의 조건과 활용,실근이 존재하지 않을 조건|오직 한 쌍의 해|실근을 가질 조건|자연수 각 자리 숫자|도형 성질 활용,8,53,36.png,H1_CM1_EQINEQ_C042|H1_CM1_EQINEQ_C045|H1_CM1_EQINEQ_C046
H1_CM1_EQINEQ_RAW_049,37,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,부정방정식,정수·실수 조건의 부정방정식,"x,y에 관한 일차식|x,y에 관한 이차식|근과 계수 관계 이용|완전제곱식 이용",10,40,37.png,H1_CM1_EQINEQ_C047
H1_CM1_EQINEQ_RAW_050,38,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,일차부등식,부등식의 기본성질과 ax>b의 풀이,부등식 사칙연산|수의 범위|계수의 부호에 따른 해|해가 주어진 경우,11,63,38.png,H1_CM1_EQINEQ_C048|H1_CM1_EQINEQ_C049
H1_CM1_EQINEQ_RAW_051,39,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립일차부등식,연립일차부등식의 풀이,두 일차부등식|세 일차부등식|수직선 표현|괄호 있는 경우|계수에 문자·소수·분수가 포함,11,54,39.png,H1_CM1_EQINEQ_C050
H1_CM1_EQINEQ_RAW_052,40|41,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립일차부등식,A<B<C 꼴과 특수한 해,A<B<C 꼴|특수한 해를 갖는 조건|해가 주어진 연립부등식|해를 갖거나 갖지 않는 경우,16,91,40.png~41.png,H1_CM1_EQINEQ_C051|H1_CM1_EQINEQ_C052
H1_CM1_EQINEQ_RAW_053,42|43,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립일차부등식 활용,연립일차부등식의 활용,수의 조건|생산과 운송|개수·가격·구매 비용|과부족|도형|속력|농도,20,72,42.png~43.png,H1_CM1_EQINEQ_C053
H1_CM1_EQINEQ_RAW_054,43|44,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,절댓값 부등식,절댓값을 포함한 일차부등식,"|ax+b|<c, |ax+b|>c 꼴|cx+d와 비교|두 절댓값 기호|해의 조건",17,93,43.png~44.png,H1_CM1_EQINEQ_C054
H1_CM1_EQINEQ_RAW_055,45,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,특수 일차부등식,여러 가지 부등식,가우스 기호 포함 일차부등식|새롭게 정의된 연산 기호 포함 일차부등식,2,2,45.png,H1_CM1_EQINEQ_C055
H1_CM1_EQINEQ_RAW_056,45,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식,그래프를 이용한 이차부등식의 풀이,f(x)>0 또는 f(x)<0 꼴|f(x)>a 또는 f(x)<a 꼴|그래프가 주어진 경우,6,35,45.png,H1_CM1_EQINEQ_C056
H1_CM1_EQINEQ_RAW_057,46,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식,이차부등식의 풀이,인수분해되어 주어진 경우|ax²+bx+c>0 꼴|여러 이차부등식|절댓값 포함 부등식 활용,6,46,46.png,H1_CM1_EQINEQ_C056|H1_CM1_EQINEQ_C057
H1_CM1_EQINEQ_RAW_058,46|47|48,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식,절댓값·가우스 기호 포함 이차부등식,절댓값 기호 포함|가우스 기호 포함|이차항이 미정계수일 때,7,19,46.png~48.png,H1_CM1_EQINEQ_C058
H1_CM1_EQINEQ_RAW_059,47,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식 조건,해가 주어진 이차부등식,해가 구간으로 주어진 경우|해가 실수 전체인 경우|두 계수가 미지수|모든 계수가 미지수,11,33,47.png,H1_CM1_EQINEQ_C059|H1_CM1_EQINEQ_C060
H1_CM1_EQINEQ_RAW_060,48|49|50,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식 조건,해를 가질 조건·항상 성립 조건·해 없음 조건,해를 가질 조건|항상 성립 조건|해를 갖지 않을 조건|제한 범위에서 항상 성립,16,70,48.png~50.png,H1_CM1_EQINEQ_C060
H1_CM1_EQINEQ_RAW_061,50|51,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,그래프 위치관계,이차부등식과 두 그래프의 위치 관계,만나는 경우|만나지 않는 경우|포함관계를 만족하도록 미정계수 구하기|최대·최소와 이차부등식,12,38,50.png~51.png,H1_CM1_EQINEQ_C061|H1_CM1_EQINEQ_C060|H1_CM1_EQINEQ_C032
H1_CM1_EQINEQ_RAW_062,52,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,이차부등식 활용,이차부등식의 활용,위치·시간|도형 길이·넓이|할인과 가격|관계식 두 개,4,13,52.png,H1_CM1_EQINEQ_C062
H1_CM1_EQINEQ_RAW_063,52,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립이차부등식,연립이차부등식의 풀이,일차부등식과 이차부등식|이차부등식 2개|A<B<C 꼴|음수의 제곱근 활용,8,39,52.png,H1_CM1_EQINEQ_C063
H1_CM1_EQINEQ_RAW_064,53,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립이차부등식 조건,해가 주어진 연립이차부등식과 해의 조건,해가 x의 범위로 주어진 경우|다른 부등식과 해가 같은 경우|정수해 조건|해의 조건이 주어진 경우,9,58,53.png,H1_CM1_EQINEQ_C063|H1_CM1_EQINEQ_C059|H1_CM1_EQINEQ_C060
H1_CM1_EQINEQ_RAW_065,54,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,연립이차부등식 활용,연립이차부등식의 활용,제품 생산과 운송|반올림|삼각형 변의 길이|사각형 조건|입체도형,5,17,54.png,H1_CM1_EQINEQ_C063|H1_CM1_EQINEQ_C062
H1_CM1_EQINEQ_RAW_066,54,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,실근 위치,이차방정식의 근의 판별과 이차부등식,주어진 이차방정식이 실근을 갖는 경우|허근을 갖는 경우|두 이차방정식의 근 조건|사차방정식 근 조건,4,25,54.png,H1_CM1_EQINEQ_C064|H1_CM1_EQINEQ_C016|H1_CM1_EQINEQ_C040
H1_CM1_EQINEQ_RAW_067,55,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,실근 위치,이차방정식의 실근의 부호,두 근이 양수|두 근이 음수|부호가 서로 다른 경우|절댓값과 부호 조건,5,19,55.png,H1_CM1_EQINEQ_C064|H1_CM1_EQINEQ_C019
H1_CM1_EQINEQ_RAW_068,56,공통수학1 방정식과 부등식,여러 가지 방정식과 부등식,실근 위치,이차방정식의 실근의 위치,"두 근이 0보다 크거나 작을 조건|0이 두 근 사이에 있을 조건|두 근이 a,b 사이에 있을 조건|근의 위치 조건과 이차함수·직선",11,46,56.png,H1_CM1_EQINEQ_C064|H1_CM1_EQINEQ_C027|H1_CM1_EQINEQ_C028
