raw_section_id,order,grade,course,unit_id,unit_name,major_category,middle_category,section_name,source_image,concept_ids,status
H1_CM1_COUNT_RAW_019,19,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,지불 방법의 수와 지불 금액의 수,지불 금액의 수 구하기,2.png,H1_CM1_COUNT_C019,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_020,20,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,도로망에서의 경우의 수,두 지점이 있는 도로망에서 경우의 수,2.png,H1_CM1_COUNT_C020,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_021,21,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,도로망에서의 경우의 수,세 지점이 있는 도로망에서 경우의 수,2.png,H1_CM1_COUNT_C021,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_022,22,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,도로망에서의 경우의 수,네 지점이 있는 도로망에서 경우의 수,2.png,H1_CM1_COUNT_C022,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_023,23,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,수형도를 이용하는 경우의 수,입체도형에서 경우의 수,2.png,H1_CM1_COUNT_C023,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_024,24,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,수형도를 이용하는 경우의 수,숫자가 적힌 카드나 공을 꺼낼 때 경우의 수,2.png,H1_CM1_COUNT_C024,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_025,25,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,수형도를 이용하는 경우의 수,조건을 만족하는 자연수의 개수,3.png,H1_CM1_COUNT_C025,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_026,26,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,수형도를 이용하는 경우의 수,"자기 자신이 아닌 다른 사람의 것을 갖는 경우의 수(완전순열, 교란순열)",3.png,H1_CM1_COUNT_C026,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_027,27,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,수형도를 이용하는 경우의 수,문자를 나열하는 경우의 수,3.png,H1_CM1_COUNT_C027,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_028,28,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,색칠하는 방법의 수,모든 영역에 서로 다른 색을 칠해야 하는 경우,3.png,H1_CM1_COUNT_C028,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_029,29,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,색칠하는 방법의 수,영역에 동일한 색을 칠할 수 있는 경우,3.png,H1_CM1_COUNT_C029,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_030,30,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr의 계산,"n!, nPr의 값 구하기",3.png,H1_CM1_COUNT_C030,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_031,31,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr의 계산,"n!, nPr이 있는 방정식, 부등식",3.png,H1_CM1_COUNT_C031,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_032,32,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,순열의 수,nPr을 이용한 경우의 수 계산하기,3.png,H1_CM1_COUNT_C032,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_033,33,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,순열의 수,"nPr을 이용한 경우의 수에서 경우의 수가 주어졌을 때 n, r 구하기",3.png,H1_CM1_COUNT_C033,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_034,34,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,이웃하는 순열의 수,한 쌍이 이웃하는 경우,3.png,H1_CM1_COUNT_C034,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_035,35,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,이웃하는 순열의 수,두 쌍 이상 이웃하는 경우,3.png,H1_CM1_COUNT_C035,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_036,36,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,이웃하지 않는 순열의 수,이웃하지 않는다는 조건이 주어진 경우,3.png,H1_CM1_COUNT_C036,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_037,37,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,이웃하지 않는 순열의 수,번갈아 나열하는 조건이 주어진 경우,4.png,H1_CM1_COUNT_C037,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_038,38,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,일렬로 앉는 경우(1) 하나의 자리가 고정될 때,4.png,H1_CM1_COUNT_C038,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_039,39,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,일렬로 앉는 경우(2) 둘 이상의 자리가 고정될 때,4.png,H1_CM1_COUNT_C039,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_040,40,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,일렬로 앉는 경우(3) 둘 사이에 m개가 나열될 때,4.png,H1_CM1_COUNT_C040,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_041,41,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,일렬로 앉는 경우(4) 이 외의 조건이 있을 때,4.png,H1_CM1_COUNT_C041,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_042,42,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,2줄인 자리에 앉는 경우,4.png,H1_CM1_COUNT_C042,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_043,43,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자리에 대한 조건이 있는 순열의 수,3줄 이상인 자리에 앉는 경우,4.png,H1_CM1_COUNT_C043,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_044,44,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,적어도 의 조건이 있는 순열의 수,자리에 대한 조건에 적어도가 있는 경우,4.png,H1_CM1_COUNT_C044,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_045,45,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,적어도 의 조건이 있는 순열의 수,적어도 하나를 포함하여 뽑는 경우,4.png,H1_CM1_COUNT_C045,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_046,46,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수의 개수,모든 자연수의 개수 구하기,4.png,H1_CM1_COUNT_C046,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_047,47,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수의 개수,"짝수(홀수), 배수의 개수 구하기",4.png,H1_CM1_COUNT_C047,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_048,48,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수의 개수,자릿수에 제약 조건이 있는 경우,4.png,H1_CM1_COUNT_C048,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_049,49,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수의 개수,적어도의 조건이 있는 경우,5.png,H1_CM1_COUNT_C049,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_050,50,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수의 개수,이웃하거나 이웃하지 않는 조건이 있는 경우,5.png,H1_CM1_COUNT_C050,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_051,51,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사전식으로 배열하는 방법의 수,수를 크기순으로 배열하는 경우,5.png,H1_CM1_COUNT_C051,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_052,52,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사전식으로 배열하는 방법의 수,문자를 사전식으로 배열하는 경우,5.png,H1_CM1_COUNT_C052,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_053,53,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nCr의 계산,nCr의 값 구하기,5.png,H1_CM1_COUNT_C053,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_054,54,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nCr의 계산,"nCr이 있는 방정식, 부등식",5.png,H1_CM1_COUNT_C054,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_055,55,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr의 계산,"nPr, nCr의 값 구하기",5.png,H1_CM1_COUNT_C055,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_056,56,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr의 계산,"nPr, nCr의 관계를 이용하는 방정식",5.png,H1_CM1_COUNT_C056,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_057,57,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr의 계산,"nPr, nCr이 있는 방정식(1) n 또는 r이 미지수인 경우",5.png,H1_CM1_COUNT_C057,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_058,58,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr의 계산,"nPr, nCr이 있는 방정식(2) n, r이 모두 미지수인 경우",5.png,H1_CM1_COUNT_C058,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_059,59,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr의 계산,"nPr, nCr이 있는 부등식",5.png,H1_CM1_COUNT_C059,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_060,60,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr을 이용한 증명,"nPr, nCr의 기본 성질의 진위 판단하기",5.png,H1_CM1_COUNT_C060,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_061,61,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr을 이용한 증명,nPr의 성질 증명하기,6.png,H1_CM1_COUNT_C061,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_062,62,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,nPr와 nCr을 이용한 증명,nCr의 성질 증명하기,6.png,H1_CM1_COUNT_C062,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_063,63,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(1) 사람(물건)을 뽑는 경우,6.png,H1_CM1_COUNT_C063,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_064,64,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(2) 상자에 넣거나 나누어주는 경우,6.png,H1_CM1_COUNT_C064,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_065,65,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(3) 수에 관련된 조건이 주어진 경우,6.png,H1_CM1_COUNT_C065,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_066,66,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(5) 도로망에서의 경로,6.png,H1_CM1_COUNT_C066,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_067,67,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(6) 입체도형의 단면의 활용,6.png,H1_CM1_COUNT_C067,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_068,68,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,조합의 수 구하기(7) 그 외의 경우,6.png,H1_CM1_COUNT_C068,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_069,69,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,nCr을 이용한 경우의 수(1) 경우의 수 계산하기,6.png,H1_CM1_COUNT_C069,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_070,70,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,조합의 수,"nCr을 이용한 경우의 수(2) 경우의 수가 주어졌을 때 n, r 구하기",6.png,H1_CM1_COUNT_C070,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_071,71,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,특정한 것을 포함하거나 포함하지 않는 조합의 수,특정 사람(물건)을 포함하는 조합의 수,6.png,H1_CM1_COUNT_C071,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_072,72,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,특정한 것을 포함하거나 포함하지 않는 조합의 수,특정 사람(물건)을 제외하는 조합의 수,6.png,H1_CM1_COUNT_C072,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_073,73,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,특정한 것을 포함하거나 포함하지 않는 조합의 수,특정 사람(물건)을 포함하고 다른 특정 사람(물건)은 제외하는 조합의 수,7.png,H1_CM1_COUNT_C073,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_074,74,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,특정한 것을 포함하거나 포함하지 않는 조합의 수,공통으로 선택하는 것이 있을 때의 활용,7.png,H1_CM1_COUNT_C074,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_075,75,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,적어도의 조건이 있는 조합의 수,사람(물건)을 뽑거나 넣는 경우,7.png,H1_CM1_COUNT_C075,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_076,76,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,적어도의 조건이 있는 조합의 수,숫자를 뽑거나 넣는 경우,7.png,H1_CM1_COUNT_C076,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_077,77,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,뽑아서 나열하는 방법의 수,사람(물건)을 뽑을 때(1) 일반적인 경우,7.png,H1_CM1_COUNT_C077,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_078,78,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,뽑아서 나열하는 방법의 수,사람(물건)을 뽑을 때(2) 서로 다른 상자에 넣는 경우,7.png,H1_CM1_COUNT_C078,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_079,79,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,뽑아서 나열하는 방법의 수,사람(물건)을 뽑을 때(3) 특정한 것을 포함하거나 제외시키는 경우,7.png,H1_CM1_COUNT_C079,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_080,80,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,뽑아서 나열하는 방법의 수,숫자를 뽑아서 나열하는 방법의 수,7.png,H1_CM1_COUNT_C080,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_081,81,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,직선의 개수,점의 개수만 주어진 경우,7.png,H1_CM1_COUNT_C081,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_082,82,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,직선의 개수,평행선 위의 점을 연결할 때,7.png,H1_CM1_COUNT_C082,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_083,83,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,직선의 개수,평면도형 위의 점을 연결할 때,7.png,H1_CM1_COUNT_C083,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_084,84,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,대각선의 개수,대각선의 개수 구하기,7.png,H1_CM1_COUNT_C084,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_085,85,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,대각선의 개수,대각선의 개수가 주어진 경우,8.png,H1_CM1_COUNT_C085,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_086,86,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,점 또는 선의 개수만 주어진 경우,8.png,H1_CM1_COUNT_C086,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_087,87,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,평행선 위의 점을 연결할 때,8.png,H1_CM1_COUNT_C087,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_088,88,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,평면도형 위의 점을 연결할 때(1) 정n각형,8.png,H1_CM1_COUNT_C088,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_089,89,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,평면도형 위의 점을 연결할 때(2) 이 외의 경우,8.png,H1_CM1_COUNT_C089,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_090,90,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,좌표평면 위의 점을 연결할 때,8.png,H1_CM1_COUNT_C090,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_091,91,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,서로 다른 삼각형의 개수,8.png,H1_CM1_COUNT_C091,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_092,92,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,직각삼각형의 개수,8.png,H1_CM1_COUNT_C092,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_093,93,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,삼각형의 개수,직각삼각형이 아닌 삼각형의 개수,8.png,H1_CM1_COUNT_C093,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_094,94,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사각형의 개수,두 평행선 위의 점이 주어진 경우,8.png,H1_CM1_COUNT_C094,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_095,95,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사각형의 개수,평행선으로 만들어지는 사각형의 개수,8.png,H1_CM1_COUNT_C095,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_096,96,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사각형의 개수,평면도형이 주어진 경우(1) 정n각형 또는 원,8.png,H1_CM1_COUNT_C096,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_097,97,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사각형의 개수,평면도형이 주어진 경우(2) 이 외의 평면도형,9.png,H1_CM1_COUNT_C097,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_098,98,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,사각형의 개수,좌표평면 위의 점을 연결할 때,9.png,H1_CM1_COUNT_C098,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_099,99,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,분할하는 방법의 수,조를 나누는 경우,9.png,H1_CM1_COUNT_C099,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_100,100,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,분할하는 방법의 수,똑같은 상자에 넣거나 상자에서 꺼내는 경우,9.png,H1_CM1_COUNT_C100,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_101,101,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,분할하는 방법의 수,분할의 수의 활용,9.png,H1_CM1_COUNT_C101,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_102,102,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,순열과 조합,자연수를 분할하는 방법의 수,자연수를 분할하는 방법의 수,9.png,H1_CM1_COUNT_C102,normalized_from_uploaded_image_taxonomy
