raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids
H1_CM1_POLY_RAW_013,7,공통수학1 다항식,다항식의 연산,도형 활용,곱셈 공식의 도형에의 활용,입체도형의 부피/겉넓이의 합 구하기|삼각형의 모양 판단하기|대각선과 둘레의 길이에 대한 조건이 주어진 직사각형|길이/조건이 주어진 입체도형|도형의 넓이 구하기|입체도형의 대각선 길이/겉넓이 구하기|사면체,7,38,7.png,H1_CM1_POLY_C005|H1_CM1_POLY_C014
H1_CM1_POLY_RAW_014,7,공통수학1 다항식,다항식의 연산,고차식 값,4차 이상 식으로 변형한 식의 값,한 문자에 대한 경우|두 문자에 대한 경우,2,12,7.png,H1_CM1_POLY_C015
H1_CM1_POLY_RAW_015,8,공통수학1 다항식,항등식과 나머지정리,항등식 기본,항등식의 뜻과 성질,항등식의 뜻과 판단|항등식이 되기 위한 조건 구하기,2,5,8.png,H1_CM1_POLY_C016
H1_CM1_POLY_RAW_016,8,공통수학1 다항식,항등식과 나머지정리,계수비교법,항등식에서 미정계수 구하기(1) 계수 비교법,빈칸 채우기|한 문자에 대한 식이 항등식이 되는 경우|두 문자에 대한 식이 항등식이 되는 경우|다항식의 나눗셈 이용|f(x)를 이용하여 표현된 식,5,25,8.png,H1_CM1_POLY_C017|H1_CM1_POLY_C021|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_017,9,공통수학1 다항식,항등식과 나머지정리,수치대입법,항등식에서 미정계수 구하기(2) 수치 대입법,수치대입법을 이용한 미정계수 구하기|이차식에서의 수치대입법|삼차식에서의 수치대입법|사차식에서의 수치대입법|다항식 f(x)에서의 수치대입법,5,20,9.png,H1_CM1_POLY_C018|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_018,10,공통수학1 다항식,항등식과 나머지정리,조건 항등식,조건을 만족시키는 항등식,"계수비교법을 이용한 항등식의 미정계수 구하기|수치대입법을 이용한 항등식의 미정계수 구하기|k의 값에 관계없이 항상 성립하는 x에 대한 등식|k의 값에 관계없이 항상 성립하는 x,y에 대한 등식|k의 값에 관계없이 항상 성립하는 x,y,z에 대한 등식|일정한 값을 갖는 분수식|조건식이 한 개 주어진 경우|조건식이 두 개 주어진 경우|모든 x,y에 대하여 성립하는 등식|모든 x,y에 대하여 일정한 값을 갖는 분수식|새롭게 정의된 연산|모든 x,y,z에 대하여 성립하는 등식",12,30,10.png,H1_CM1_POLY_C017|H1_CM1_POLY_C018|H1_CM1_POLY_C019|H1_CM1_POLY_C047|H1_CM1_POLY_C048
H1_CM1_POLY_RAW_019,11,공통수학1 다항식,항등식과 나머지정리,계수의 합,항등식에서 계수의 합 구하기,계수의 합 구하기|일부 계수의 합 구하기|미정계수 구하기|새롭게 정의된 다항식,4,21,11.png,H1_CM1_POLY_C020|H1_CM1_POLY_C047|H1_CM1_POLY_C048
H1_CM1_POLY_RAW_020,11,공통수학1 다항식,항등식과 나머지정리,나눗셈과 항등식,다항식의 나눗셈과 항등식,나누어떨어지는 경우|나머지가 주어지는 경우|몫이 주어지는 경우|몫과 나머지가 주어지는 경우|두 식으로 각각 나누는 경우,5,17,11.png,H1_CM1_POLY_C012|H1_CM1_POLY_C021
H1_CM1_POLY_RAW_021,12,공통수학1 다항식,나머지정리,일차식 나머지,나머지정리(1) 일차식으로 나누었을 때의 나머지,일차식으로 나누는 나머지 빈칸 추론|일차식으로 나누는 나머지|일차식으로 나눈 나머지가 주어진 경우 변형한 나머지|다항식의 나눗셈 조건이 주어진 경우|두 다항식에 대한 경우|몫의 계수와 나머지의 합 계산하기,6,24,12.png,H1_CM1_POLY_C022|H1_CM1_POLY_C023|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_022,12,공통수학1 다항식,나머지정리,일차식 미정계수,나머지정리(2) 일차식으로 나누었을 때 미정계수 구하기,주어진 다항식을 일차식으로 나누는 경우|주어진 다항식을 두 일차식으로 나누는 경우|주어진 다항식을 변형한 경우|두 다항식을 하나의 일차식으로 나누는 경우,4,28,12.png,H1_CM1_POLY_C022|H1_CM1_POLY_C023|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_023,13,공통수학1 다항식,나머지정리,이차식 나머지,나머지정리(3) 이차식으로 나누었을 때 나머지,이차식으로 나누었을 때의 나머지|두 일차식으로 나눈 나머지가 주어질 때 일차식의 곱으로 나눈 나머지|이차식으로 나눈 나머지가 주어질 때 새로운 이차식으로 나눈 나머지|몫으로 나눈 나머지|두 식의 연산을 나눌 때|주어진 식의 연산이 조건으로 주어질 때|이차식으로 나눌 때 미정계수 구하기|x^n 꼴을 포함하는 f(x)의 나눗셈에서의 미정계수,8,36,13.png,H1_CM1_POLY_C024|H1_CM1_POLY_C023|H1_CM1_POLY_C027|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_024,13,공통수학1 다항식,나머지정리,삼차식 나머지,나머지정리(4) 삼차식으로 나누었을 때 나머지,삼차식으로 나누기|나머지가 주어질 때 이용하여 나머지 구하기|미정계수 구하기|이차식과 일차식의 곱으로 나눈 나머지,4,16,13.png,H1_CM1_POLY_C025|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_025,14,공통수학1 다항식,나머지정리,함수 변형,f(ax+b)를 x-a로 나누는 경우,일차식으로 나눈 나머지가 주어진 경우|이차식으로 나눈 나머지가 주어진 경우|삼차식으로 나눈 나머지가 주어진 경우|두 다항식에 대한 연산을 나누는 경우|거듭제곱꼴로 변형한 식을 나누는 경우|f(x)를 일차식으로 나누는 조건이 주어질 때|f(x)를 이차식으로 나누는 조건이 주어질 때|f(ax+b)를 일차식으로 나눈 조건이 주어질 때|f(x)를 변형한 식을 이차식으로 나누는 조건이 주어질 때,9,36,14.png,H1_CM1_POLY_C026|H1_CM1_POLY_C023|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_026,15,공통수학1 다항식,나머지정리,몫의 나머지,몫을 x-a로 나누는 경우,몫을 나누는 경우|몫을 나누는 상황이 조건으로 주어진 경우|주어진 식을 두 일차식으로 나눈 나머지에 대한 경우|다항식의 나눗셈을 이용하여 푸는 경우,4,23,15.png,H1_CM1_POLY_C027|H1_CM1_POLY_C013
H1_CM1_POLY_RAW_027,15,공통수학1 다항식,나머지정리,수의 나눗셈,나머지 정리를 활용한 수의 나눗셈,거듭제곱꼴의 수의 나눗셈|거듭제곱꼴의 수의 연산으로 표현된 수의 나눗셈,2,6,15.png,H1_CM1_POLY_C028
H1_CM1_POLY_RAW_028,15,공통수학1 다항식,인수정리,일차식 인수,인수정리(1) 일차식으로 나누는 경우,일차식으로 나누어 떨어질 때|일차식을 인수로 가질 때|함숫값이 주어질 때|나누는 식의 미정계수 구하기|인수정리를 이용한 미정계수 구하기의 활용,5,51,15.png,H1_CM1_POLY_C029|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_029,16,공통수학1 다항식,인수정리,이차식 인수,인수정리(2) 이차식으로 나누는 경우,이차식으로 나누어떨어질 때|이차식을 인수로 가질 때|나누는 조건이 2개 주어진 경우,3,28,16.png,H1_CM1_POLY_C030|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_030,16,공통수학1 다항식,인수정리,조립제법,조립제법,조립제법이 주어졌을 때|조립제법을 보고 풀기|조립제법을 이용하여 나눗셈하기|조립제법을 여러번 이용하기,4,31,16.png,H1_CM1_POLY_C031
H1_CM1_POLY_RAW_031,16,공통수학1 다항식,인수정리,조립제법 활용,조립제법을 이용하여 항등식의 미정계수 구하기,조립제법을 이용하여 항등식의 미정계수 구하기|완전제곱식을 인수로 가질 때|완전제곱식으로 나누어 떨어질 때,3,13,16.png,H1_CM1_POLY_C031|H1_CM1_POLY_C032|H1_CM1_POLY_C046|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_032,17|18,공통수학1 다항식,인수분해,공식 인수분해,인수분해(1) 공식을 이용한 인수분해,인수분해 하기|인수분해가 잘못/바르게 된 것 찾기|인수분해 결과를 이용하여 미정계수 구하기|두 문자에 대한 식|세 문자에 대한 식|네 문자에 대한 식|A²-B² 꼴의 인수분해|완전제곱식과 A²-B² 꼴의 경우|인수 찾기|A³-B³ 꼴의 인수분해|공통인수로 묶고 Aⁿ-Bⁿ 꼴의 인수분해|완전제곱식으로 인수분해 되는 경우|두 다항식의 곱으로 인수분해 되는 경우|(ax+by)³ 꼴|(a+b+c)(a²+b²+c²-ab-bc-ca) 꼴|A³+B³+C³ 꼴,16,60,17.png~18.png,H1_CM1_POLY_C033|H1_CM1_POLY_C034|H1_CM1_POLY_C046|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_033,18,공통수학1 다항식,인수분해,공통부분,인수분해(2) 공통부분이 있는 식의 인수분해,치환을 이용하여 인수분해 하기|인수 찾기|미정계수 구하기|인수분해 결과가 이차식의 완전제곱식이 될 때,4,34,18.png,H1_CM1_POLY_C035|H1_CM1_POLY_C046|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_034,18,공통수학1 다항식,인수분해,고차식,인수분해(3) x^4+ax^2+b 꼴의 식의 인수분해,x^4+ax^2+b 꼴의 인수분해|인수 찾기|미정계수 구하기|공통 인수 찾기,4,22,18.png,H1_CM1_POLY_C036|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_035,19,공통수학1 다항식,인수분해,여러 문자,인수분해(4) 여러 개의 문자를 포함한 식의 인수분해,세 문자에 대한 완전제곱식|두 일차식의 곱으로 인수분해 되는 경우|한 문자에 대한 내림차순으로 정리해서 인수분해 하는 경우,3,18,19.png,H1_CM1_POLY_C034|H1_CM1_POLY_C046
H1_CM1_POLY_RAW_036,19,공통수학1 다항식,인수분해,순환식,인수분해(5) 순환하는 꼴의 식의 인수분해,인수분해 하기|인수분해하여 인수 찾기|인수분해를 이용하여 분수식의 값 구하기,3,13,19.png,H1_CM1_POLY_C037
H1_CM1_POLY_RAW_037,19,공통수학1 다항식,인수분해,인수정리 활용,인수분해(6) 인수 정리를 이용한 식의 인수분해,조립제법을 이용한 인수분해|미정계수 구하기|인수구하기|나누어떨어지는 조건|몫의 함수값 구하기|나머지 구하기,6,59,19.png,H1_CM1_POLY_C038|H1_CM1_POLY_C031|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_038,20,공통수학1 다항식,인수분해,대칭 사차식,인수분해(7) 계수가 대칭인 사차식의 인수분해,인수분해 하기|인수 찾기|미정계수 구하기,3,5,20.png,H1_CM1_POLY_C039
H1_CM1_POLY_RAW_039,20,공통수학1 다항식,인수분해,조건식,인수분해(8) 조건이 주어진 다항식의 인수분해,두 문자에 대한 조건에서 같은 값 찾기|세 문자에 대한 조건에서 같은 값 찾기|세 문자에 대한 조건에서 식의 값 구하기,3,6,20.png,H1_CM1_POLY_C040|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_040,20,공통수학1 다항식,인수분해,새 연산,인수분해(9) 새롭게 정의된 식의 인수분해,두 다항식에 대한 연산|세 문자에 대한 연산,2,4,20.png,H1_CM1_POLY_C041|H1_CM1_POLY_C048
H1_CM1_POLY_RAW_041,20,공통수학1 다항식,인수분해의 활용,삼각형,인수분해의 활용(1) 삼각형의 모양 판단,모양 판단하기|넓이 구하기,2,15,20.png,H1_CM1_POLY_C042|H1_CM1_POLY_C045
H1_CM1_POLY_RAW_042,21,공통수학1 다항식,인수분해의 활용,수 계산,인수분해의 활용(2) 수의 계산,인수분해를 이용한 수의 계산|인수분해를 이용한 분수식의 계산|특수한 곱 구조의 계산,3,33,21.png,H1_CM1_POLY_C043
H1_CM1_POLY_RAW_043,21,공통수학1 다항식,인수분해의 활용,식의 값,인수분해의 활용(3) 식의 값 구하기,두 문자의 경우|세 문자의 경우|x의 값이 주어질 때,3,38,21.png,H1_CM1_POLY_C044|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_044,21,공통수학1 다항식,인수분해의 활용,종합 활용,인수분해의 활용(4),인수분해의 다항식에의 활용|인수분해의 평면도형에의 활용|인수분해의 입체도형에의 활용|인수분해의 여러 개의 입체도형에의 활용,4,40,21.png,H1_CM1_POLY_C045|H1_CM1_POLY_C014
