item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,variant_id,near_duplicate_group,mapping_status,mapping_confidence,review_status
M2_NE_150_S06_Q014,SRC_M2_NE_150_WORKSHEET_SET06_20260710,014,2,25,24aeeebf2da21d2956cfd9c5d07da3b852714937375d58029cb269806069496c,d2aef29ffda380af686f28559a05a0097f91d0f132ab56e6347c42b4dec5d664,유한소수가 되는 x/A를 기약분수로 나타내기,29,integer,M2_NE_PT019,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,82,low_observed_challenge,M2_NE_PT019__M2NE150S06_Q014,M2_NE_PT019::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q015,SRC_M2_NE_150_WORKSHEET_SET06_20260710,015,2,25,0dbe2746d2d81ce41cded92b52152ad8de57c42c63c848703ed790467f9ab186,d2aef29ffda380af686f28559a05a0097f91d0f132ab56e6347c42b4dec5d664,유한소수가 되는 x/A를 기약분수로 나타내기,13,integer,M2_NE_PT019,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,77,medium_observed_challenge,M2_NE_PT019__M2NE150S06_Q015,M2_NE_PT019::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q016,SRC_M2_NE_150_WORKSHEET_SET06_20260710,016,2,26,7c2218df57a48dbe44035448e455654eb8588ff0ab45719ba19d71907479b5e9,034cb75f6580aa17dce6dc747576a1485720f230db071dfa6a38531200742076,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,choice:2,single_choice,M2_NE_PT022,,M2_NE_C005|M2_NE_C008,M2_NE_C004|M2_NE_C007,,advanced,82,low_observed_challenge,M2_NE_PT022__M2NE150S06_Q016,M2_NE_PT022::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q017,SRC_M2_NE_150_WORKSHEET_SET06_20260710,017,3,26,0cfcf0b000f46f159e9ccb4214b652d11db11eb5c7dfc2a90b52563ea89c7cd0,748920baf57dd182766e43f9c5c6be09e8fc35364b1e02db07772a368b2560c6,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,63,integer,M2_NE_PT022,,M2_NE_C005|M2_NE_C008,M2_NE_C004|M2_NE_C007,,advanced,71,medium_observed_challenge,M2_NE_PT022__M2NE150S06_Q017,M2_NE_PT022::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q018,SRC_M2_NE_150_WORKSHEET_SET06_20260710,018,3,26,d269021af91322466bad4b5abdd8931f41dbb7e20675480e8fa029eb79eea062,748920baf57dd182766e43f9c5c6be09e8fc35364b1e02db07772a368b2560c6,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,63,integer,M2_NE_PT022,,M2_NE_C005|M2_NE_C008,M2_NE_C004|M2_NE_C007,,advanced,83,low_observed_challenge,M2_NE_PT022__M2NE150S06_Q018,M2_NE_PT022::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q019,SRC_M2_NE_150_WORKSHEET_SET06_20260710,019,3,26,9e050d7f0c54a0e352c989de6cc01d744bb321f7fd5a9eae64557b856b4e748c,7f936105ed375621ffb223a0a9e38191f5392740fca9055089a2c7e353a6ca91,순환마디,choice:2,single_choice,M2_NE_PT025,M2_NE_PT024,M2_NE_C003|M2_NE_C009|M2_NE_C010,M2_NE_C002|M2_NE_C003|M2_NE_C009,,basic,83,low_observed_challenge,M2_NE_PT025__M2NE150S06_Q019,M2_NE_PT025::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q020,SRC_M2_NE_150_WORKSHEET_SET06_20260710,020,3,26,c8cdeafc6e01f96dfcd45403b18042e85122e5050523479d8f5edcc6f863e0d2,7f936105ed375621ffb223a0a9e38191f5392740fca9055089a2c7e353a6ca91,순환마디,choice:3,single_choice,M2_NE_PT025,M2_NE_PT024,M2_NE_C003|M2_NE_C009|M2_NE_C010,M2_NE_C002|M2_NE_C003|M2_NE_C009,,basic,72,medium_observed_challenge,M2_NE_PT025__M2NE150S06_Q020,M2_NE_PT025::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q021,SRC_M2_NE_150_WORKSHEET_SET06_20260710,021,3,26,827b76374d559510a4c3e1bfaed4300a6e8a44b5945b1836a605f13ff8dbc2d4,75c9e0fa8109add2fd4155ac888aad93592cfd0b46174aedcbedf74291bc3821,순환마디,285714,integer,M2_NE_PT024,,M2_NE_C003|M2_NE_C009|M2_NE_C010,M2_NE_C002|M2_NE_C003|M2_NE_C009,,basic,59,high_observed_challenge,M2_NE_PT024__M2NE150S06_Q021,M2_NE_PT024::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q022,SRC_M2_NE_150_WORKSHEET_SET06_20260710,022,4,26,e9a88ddae604f9c78949eb26b329c107c51b9b541f68e7e02d37461b0e02bfb5,7f936105ed375621ffb223a0a9e38191f5392740fca9055089a2c7e353a6ca91,순환마디,choice:2,single_choice,M2_NE_PT025,M2_NE_PT024,M2_NE_C003|M2_NE_C009|M2_NE_C010,M2_NE_C002|M2_NE_C003|M2_NE_C009,,basic,65,medium_observed_challenge,M2_NE_PT025__M2NE150S06_Q022,M2_NE_PT025::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q023,SRC_M2_NE_150_WORKSHEET_SET06_20260710,023,4,26,ee8e5ba971ef6095b6ff5b2f70b4f157f09e6825619895f0bf0894ebe10c9ee2,e645c8c3cca850b89e931a6d9942c023bdafa66840f6903eb921c93bee6e5e1b,소수점 아래 n번째 자리의 숫자 구하기,10,integer,M2_NE_PT033,M2_NE_PT030,M2_NE_C010|M2_NE_C011,M2_NE_C009|M2_NE_C010,,advanced,78,medium_observed_challenge,M2_NE_PT033__M2NE150S06_Q023,M2_NE_PT033::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q024,SRC_M2_NE_150_WORKSHEET_SET06_20260710,024,4,26,1456dca6cb8583b2a4d2ebcc7b0dac6bff412c3f83c90a12c9a0e3fbd3ac0504,05a34f6824c54c83b655447a5b4e4cd3b16829ca08aaaae5350dd78ab17c2f4f,소수점 아래 n번째 자리의 숫자 구하기,choice:3,single_choice,M2_NE_PT031,,M2_NE_C010|M2_NE_C011,M2_NE_C009|M2_NE_C010,,advanced,83,low_observed_challenge,M2_NE_PT031__M2NE150S06_Q024,M2_NE_PT031::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q025,SRC_M2_NE_150_WORKSHEET_SET06_20260710,025,4,27,63e8584df1279f814f17bf75ca1cb90094a213ac6ab5582a5baf2e4a4cce9204,1a79d6a5bbd2ab6f7afa339aa677bf42d1460e2f61c82f411c5c8de6a0088b7d,소수점 아래 n번째 자리의 숫자 구하기,8,integer,M2_NE_PT031,,M2_NE_C010|M2_NE_C011,M2_NE_C009|M2_NE_C010,,advanced,67,medium_observed_challenge,M2_NE_PT031__M2NE150S06_Q025,M2_NE_PT031::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q026,SRC_M2_NE_150_WORKSHEET_SET06_20260710,026,4,27,0745baa6fbb55831631ab01c2f00c68251931182e950648628123b40e5aa9b21,e645c8c3cca850b89e931a6d9942c023bdafa66840f6903eb921c93bee6e5e1b,소수점 아래 n번째 자리의 숫자 구하기,189,integer,M2_NE_PT033,M2_NE_PT030,M2_NE_C010|M2_NE_C011,M2_NE_C009|M2_NE_C010,,advanced,55,high_observed_challenge,M2_NE_PT033__M2NE150S06_Q026,M2_NE_PT033::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q027,SRC_M2_NE_150_WORKSHEET_SET06_20260710,027,4,27,527b072a52dcf4a5da9749f467670e6f203dc61a442fe6ef6ac860628f6eb09f,c00114f8dee063f5b2b527ef2a420a939b66d6dacbbbe999780f31e64a01bc40,순환소수가 되도록 하는 미지수의 값,14,integer,M2_NE_PT034,,M2_NE_C005|M2_NE_C007|M2_NE_C014,M2_NE_C004|M2_NE_C005|M2_NE_C013,,advanced,67,medium_observed_challenge,M2_NE_PT034__M2NE150S06_Q027,M2_NE_PT034::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q028,SRC_M2_NE_150_WORKSHEET_SET06_20260710,028,4,27,3b3caed1e782c81f3786f5643e37519fba855ac322bc3cb2d3b4464df8d4508a,4443cb46a04194bc28a61b1b72655fceca3d2480a8f77ba8eb26e20207bb85fd,순환소수가 되도록 하는 미지수의 값,choice:5,single_choice,M2_NE_PT034,,M2_NE_C005|M2_NE_C007|M2_NE_C014,M2_NE_C004|M2_NE_C005|M2_NE_C013,,advanced,81,low_observed_challenge,M2_NE_PT034__M2NE150S06_Q028,M2_NE_PT034::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q029,SRC_M2_NE_150_WORKSHEET_SET06_20260710,029,4,27,07a89b622d9336f5a2e601a0d1523aaf02b90889d1bd821eca006bd320f64861,4443cb46a04194bc28a61b1b72655fceca3d2480a8f77ba8eb26e20207bb85fd,순환소수가 되도록 하는 미지수의 값,choice:1,single_choice,M2_NE_PT034,,M2_NE_C005|M2_NE_C007|M2_NE_C014,M2_NE_C004|M2_NE_C005|M2_NE_C013,,advanced,80,low_observed_challenge,M2_NE_PT034__M2NE150S06_Q029,M2_NE_PT034::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q030,SRC_M2_NE_150_WORKSHEET_SET06_20260710,030,5,27,70d9986fb307bc8dc06bb89ae68de04f3f0f84388457973a8bb3904961b9f922,d46b8671cfd1ca837ba520885c2476117c504a01bd28f04d5478172beba8967e,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,13/18,fraction,M2_NE_PT045,M2_NE_PT042,M2_NE_C012|M2_NE_C013|M2_NE_C014,M2_NE_C009|M2_NE_C012|M2_NE_C013,,advanced,72,medium_observed_challenge,M2_NE_PT045__M2NE150S06_Q030,M2_NE_PT045::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q031,SRC_M2_NE_150_WORKSHEET_SET06_20260710,031,5,27,8389101dfd6b45de12fde5715ae6767625ed07f50883ef872d98702b9a77a6d9,09a213a83acc49e3a31cf981912d03d43179a447b1f564b7c920641baf01e70c,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,199,integer,M2_NE_PT043,M2_NE_PT044,M2_NE_C012|M2_NE_C013|M2_NE_C014,M2_NE_C009|M2_NE_C012|M2_NE_C013,,advanced,67,medium_observed_challenge,M2_NE_PT043__M2NE150S06_Q031,M2_NE_PT043::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q032,SRC_M2_NE_150_WORKSHEET_SET06_20260710,032,5,27,d66bd3c5ace199a74e4748851a7275d9eac2867245e39ec031772fe8a4563ce8,44bf04cf5e99a05b5a120065b7659acc54322d7b8faa325f2646f5c940de9d19,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,choice:2,single_choice,M2_NE_PT045,M2_NE_PT040|M2_NE_PT041,M2_NE_C012|M2_NE_C013|M2_NE_C014,M2_NE_C009|M2_NE_C012|M2_NE_C013,,advanced,90,low_observed_challenge,M2_NE_PT045__M2NE150S06_Q032,M2_NE_PT045::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q033,SRC_M2_NE_150_WORKSHEET_SET06_20260710,033,5,27,484cbc0b7782ad2087c0fcd63575158a55180c4f3f87f754ca819fa7dd044e1b,44bf04cf5e99a05b5a120065b7659acc54322d7b8faa325f2646f5c940de9d19,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,choice:5,single_choice,M2_NE_PT045,M2_NE_PT040|M2_NE_PT041,M2_NE_C012|M2_NE_C013|M2_NE_C014,M2_NE_C009|M2_NE_C012|M2_NE_C013,,advanced,89,low_observed_challenge,M2_NE_PT045__M2NE150S06_Q033,M2_NE_PT045::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q034,SRC_M2_NE_150_WORKSHEET_SET06_20260710,034,5,27,d0a100edc4949a63a52fee22cc7bcc5951f53d2084895029baabe8376e18b197,8689f9a6175560998df82b2949ba7fe1be2850ad8fc54582f2865523d6474e8a,순환소수의 대소 관계,choice:1,single_choice,M2_NE_PT048,,M2_NE_C015,M2_NE_C012,,core,78,medium_observed_challenge,M2_NE_PT048__M2NE150S06_Q034,M2_NE_PT048::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q035,SRC_M2_NE_150_WORKSHEET_SET06_20260710,035,5,27,5aa4ff3108e618e4076d023a52e96f0eb9363a241b7ca7a6027ec2e40b808fb4,8689f9a6175560998df82b2949ba7fe1be2850ad8fc54582f2865523d6474e8a,순환소수의 대소 관계,choice:3,single_choice,M2_NE_PT048,,M2_NE_C015,M2_NE_C012,,core,81,low_observed_challenge,M2_NE_PT048__M2NE150S06_Q035,M2_NE_PT048::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q036,SRC_M2_NE_150_WORKSHEET_SET06_20260710,036,5,28,f2dfce89e9f9984d327fff379b74a235fb45db5ad6559a0dd7de06f4c3cdee8d,8689f9a6175560998df82b2949ba7fe1be2850ad8fc54582f2865523d6474e8a,순환소수의 대소 관계,choice:3,single_choice,M2_NE_PT048,,M2_NE_C015,M2_NE_C012,,core,82,low_observed_challenge,M2_NE_PT048__M2NE150S06_Q036,M2_NE_PT048::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q037,SRC_M2_NE_150_WORKSHEET_SET06_20260710,037,6,28,9f0fd94702ec4934604ce937774fc278b1d34aecbeaa9ed4aa9d7aa6ea9f2931,8689f9a6175560998df82b2949ba7fe1be2850ad8fc54582f2865523d6474e8a,순환소수의 대소 관계,choice:1,single_choice,M2_NE_PT048,,M2_NE_C015,M2_NE_C012,,core,61,high_observed_challenge,M2_NE_PT048__M2NE150S06_Q037,M2_NE_PT048::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q038,SRC_M2_NE_150_WORKSHEET_SET06_20260710,038,6,28,f495cefab16fd06ad09d0ecf90dcc4c8976ced2f56354307a8f7338d3c9dda88,9baf30cb8dce25e68c271142a51dcbe2477d1948150d80bd162e36e3293206ea,순환소수를 포함한 식의 계산,43/45,fraction,M2_NE_PT050,,M2_NE_C012|M2_NE_C013|M2_NE_C016,M2_NE_C009|M2_NE_C012,,advanced,75,medium_observed_challenge,M2_NE_PT050__M2NE150S06_Q038,M2_NE_PT050::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q039,SRC_M2_NE_150_WORKSHEET_SET06_20260710,039,6,28,ee94e32f5ce02f6b346aa46ce45dd217c6d8ed1416b2a5af4a5a6a4e447bac23,c5bb5840b86c38d3bd6e9e5fff3e91e2decaca17ea01a45a9f28bf23281d4cb1,순환소수를 포함한 식의 계산,choice:4,single_choice,M2_NE_PT051,M2_NE_PT050,M2_NE_C012|M2_NE_C013|M2_NE_C016,M2_NE_C009|M2_NE_C012,,advanced,74,medium_observed_challenge,M2_NE_PT051__M2NE150S06_Q039,M2_NE_PT051::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q040,SRC_M2_NE_150_WORKSHEET_SET06_20260710,040,6,28,020ef2962637e9f9781c8697567a2b9b0dddbdc8b3a7f0689abc0f87fd981d89,1cb7f2df6520d5b4d3f869d00a068a2e14c76dff46228a63ec3be0bb9bf9b5f3,순환소수를 포함한 식의 계산,6,integer,M2_NE_PT051,M2_NE_PT050,M2_NE_C012|M2_NE_C013|M2_NE_C016,M2_NE_C009|M2_NE_C012,,advanced,75,medium_observed_challenge,M2_NE_PT051__M2NE150S06_Q040,M2_NE_PT051::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q041,SRC_M2_NE_150_WORKSHEET_SET06_20260710,041,6,28,9449cc9f25c30a4c8ca43d12d89fb10acc10600389b0f81e64378da5ab78964d,ca2ff2cd452e3a646eaf3159cf934ee21150feb60a294cfd99df409f75b64475,순환소수를 포함한 식의 계산,2/3,fraction,M2_NE_PT051,M2_NE_PT050,M2_NE_C012|M2_NE_C013|M2_NE_C016,M2_NE_C009|M2_NE_C012,,advanced,77,medium_observed_challenge,M2_NE_PT051__M2NE150S06_Q041,M2_NE_PT051::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q042,SRC_M2_NE_150_WORKSHEET_SET06_20260710,042,6,28,9179d0390fc7e1c53f32dc13c8948909d9e2e154ede06e91b439e125efe2b039,55825d0b980eeced0ce026940de2db7e4650c99ddd037377bb9bc9499cabea52,순환소수를 포함한 부등식의 계산,18,integer,M2_NE_PT053,,M2_NE_C015|M2_NE_C017,M2_NE_C012|M2_NE_C016,,advanced,64,high_observed_challenge,M2_NE_PT053__M2NE150S06_Q042,M2_NE_PT053::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q043,SRC_M2_NE_150_WORKSHEET_SET06_20260710,043,6,28,86d8af9f8c1635dea0937bb25bc3a339be4a39e9f1e9c4b98e25b71489d60576,55825d0b980eeced0ce026940de2db7e4650c99ddd037377bb9bc9499cabea52,순환소수를 포함한 부등식의 계산,12,integer,M2_NE_PT053,,M2_NE_C015|M2_NE_C017,M2_NE_C012|M2_NE_C016,,advanced,74,medium_observed_challenge,M2_NE_PT053__M2NE150S06_Q043,M2_NE_PT053::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
