problem_type_id,unit_id,unit_name,type_name,default_difficulty,concept_ids,error_tags,source_orders,raw_section_id
M3_POLY_PT023,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,연속한 합과 차의 곱 - 조건 적용,basic,M3_POLY_C006,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_006
M3_POLY_PT024,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,연속한 합과 차의 곱 - 종합 활용,core,M3_POLY_C006,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_006
M3_POLY_PT025,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1인 두 일차식의 곱,advanced,M3_POLY_C007,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_007
M3_POLY_PT026,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1인 두 일차식의 곱 - 계산 수행,basic,M3_POLY_C007,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_007
M3_POLY_PT027,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1인 두 일차식의 곱 - 조건 적용,core,M3_POLY_C007,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_007
M3_POLY_PT028,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1인 두 일차식의 곱 - 종합 활용,standard,M3_POLY_C007,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_007
M3_POLY_PT029,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1이 아닌 두 일차식의 곱,basic,M3_POLY_C008,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_008
M3_POLY_PT030,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1이 아닌 두 일차식의 곱 - 계산 수행,core,M3_POLY_C008,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_008
M3_POLY_PT031,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1이 아닌 두 일차식의 곱 - 조건 적용,standard,M3_POLY_C008,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_008
M3_POLY_PT032,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,일차항 계수가 1이 아닌 두 일차식의 곱 - 종합 활용,advanced,M3_POLY_C008,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_008
M3_POLY_PT033,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세제곱 공식의 전개,core,M3_POLY_C009,"multiplication_formula,middle_term,sign_error,expansion","4,16",M3_POLY_RAW_009
M3_POLY_PT034,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세제곱 공식의 전개 - 계산 수행,standard,M3_POLY_C009,"multiplication_formula,middle_term,sign_error,expansion","4,16",M3_POLY_RAW_009
M3_POLY_PT035,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세제곱 공식의 전개 - 조건 적용,advanced,M3_POLY_C009,"multiplication_formula,middle_term,sign_error,expansion","4,16",M3_POLY_RAW_009
M3_POLY_PT036,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세제곱 공식의 전개 - 종합 활용,basic,M3_POLY_C009,"multiplication_formula,middle_term,sign_error,expansion","4,16",M3_POLY_RAW_009
M3_POLY_PT037,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식 종합 적용,standard,M3_POLY_C010,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_010
M3_POLY_PT038,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식 종합 적용 - 계산 수행,advanced,M3_POLY_C010,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_010
M3_POLY_PT039,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식 종합 적용 - 조건 적용,basic,M3_POLY_C010,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_010
M3_POLY_PT040,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식 종합 적용 - 종합 활용,core,M3_POLY_C010,"multiplication_formula,middle_term,sign_error",4,M3_POLY_RAW_010
M3_POLY_PT041,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,도형을 이용한 곱셈 공식,advanced,M3_POLY_C011,"multiplication_formula,middle_term,sign_error,geometry_model","4,5,6",M3_POLY_RAW_011
M3_POLY_PT042,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,도형을 이용한 곱셈 공식 - 계산 수행,basic,M3_POLY_C011,"multiplication_formula,middle_term,sign_error,geometry_model","4,5,6",M3_POLY_RAW_011
M3_POLY_PT043,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,도형을 이용한 곱셈 공식 - 조건 적용,core,M3_POLY_C011,"multiplication_formula,middle_term,sign_error,geometry_model","4,5,6",M3_POLY_RAW_011
M3_POLY_PT044,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,도형을 이용한 곱셈 공식 - 종합 활용,standard,M3_POLY_C011,"multiplication_formula,middle_term,sign_error,geometry_model","4,5,6",M3_POLY_RAW_011
M3_POLY_PT045,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통부분이 있는 식의 전개,basic,M3_POLY_C012,"multiplication_formula,middle_term,sign_error,expansion",5,M3_POLY_RAW_012
M3_POLY_PT046,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통부분이 있는 식의 전개 - 계산 수행,core,M3_POLY_C012,"multiplication_formula,middle_term,sign_error,expansion",5,M3_POLY_RAW_012
M3_POLY_PT047,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통부분이 있는 식의 전개 - 조건 적용,standard,M3_POLY_C012,"multiplication_formula,middle_term,sign_error,expansion",5,M3_POLY_RAW_012
M3_POLY_PT048,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통부분이 있는 식의 전개 - 종합 활용,advanced,M3_POLY_C012,"multiplication_formula,middle_term,sign_error,expansion",5,M3_POLY_RAW_012
M3_POLY_PT049,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세 항 이상의 곱 전개,core,M3_POLY_C013,"multiplication_formula,middle_term,sign_error,expansion","5,20",M3_POLY_RAW_013
M3_POLY_PT050,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세 항 이상의 곱 전개 - 계산 수행,standard,M3_POLY_C013,"multiplication_formula,middle_term,sign_error,expansion","5,20",M3_POLY_RAW_013
M3_POLY_PT051,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세 항 이상의 곱 전개 - 조건 적용,advanced,M3_POLY_C013,"multiplication_formula,middle_term,sign_error,expansion","5,20",M3_POLY_RAW_013
M3_POLY_PT052,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,세 항 이상의 곱 전개 - 종합 활용,basic,M3_POLY_C013,"multiplication_formula,middle_term,sign_error,expansion","5,20",M3_POLY_RAW_013
M3_POLY_PT053,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 수의 제곱 계산,standard,M3_POLY_C014,"multiplication_formula,middle_term,sign_error,numeric_calculation",6,M3_POLY_RAW_014
M3_POLY_PT054,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 수의 제곱 계산 - 계산 수행,advanced,M3_POLY_C014,"multiplication_formula,middle_term,sign_error,numeric_calculation",6,M3_POLY_RAW_014
M3_POLY_PT055,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 수의 제곱 계산 - 조건 적용,basic,M3_POLY_C014,"multiplication_formula,middle_term,sign_error,numeric_calculation",6,M3_POLY_RAW_014
M3_POLY_PT056,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 수의 제곱 계산 - 종합 활용,core,M3_POLY_C014,"multiplication_formula,middle_term,sign_error,numeric_calculation",6,M3_POLY_RAW_014
M3_POLY_PT057,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 두 수의 곱 계산,advanced,M3_POLY_C015,"multiplication_formula,middle_term,sign_error,numeric_calculation",7,M3_POLY_RAW_015
M3_POLY_PT058,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 두 수의 곱 계산 - 계산 수행,basic,M3_POLY_C015,"multiplication_formula,middle_term,sign_error,numeric_calculation",7,M3_POLY_RAW_015
M3_POLY_PT059,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 두 수의 곱 계산 - 조건 적용,core,M3_POLY_C015,"multiplication_formula,middle_term,sign_error,numeric_calculation",7,M3_POLY_RAW_015
M3_POLY_PT060,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,곱셈 공식을 이용한 두 수의 곱 계산 - 종합 활용,standard,M3_POLY_C015,"multiplication_formula,middle_term,sign_error,numeric_calculation",7,M3_POLY_RAW_015
M3_POLY_PT061,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,복잡한 수의 계산,basic,M3_POLY_C016,"multiplication_formula,middle_term,sign_error,numeric_calculation","7,8",M3_POLY_RAW_016
M3_POLY_PT062,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,복잡한 수의 계산 - 계산 수행,core,M3_POLY_C016,"multiplication_formula,middle_term,sign_error,numeric_calculation","7,8",M3_POLY_RAW_016
M3_POLY_PT063,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,복잡한 수의 계산 - 조건 적용,standard,M3_POLY_C016,"multiplication_formula,middle_term,sign_error,numeric_calculation","7,8",M3_POLY_RAW_016
M3_POLY_PT064,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,복잡한 수의 계산 - 종합 활용,advanced,M3_POLY_C016,"multiplication_formula,middle_term,sign_error,numeric_calculation","7,8",M3_POLY_RAW_016
M3_POLY_PT065,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,제곱근을 포함한 수의 계산,core,M3_POLY_C017,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_017
M3_POLY_PT066,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,제곱근을 포함한 수의 계산 - 계산 수행,standard,M3_POLY_C017,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_017
M3_POLY_PT067,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,제곱근을 포함한 수의 계산 - 조건 적용,advanced,M3_POLY_C017,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_017
M3_POLY_PT068,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,제곱근을 포함한 수의 계산 - 종합 활용,basic,M3_POLY_C017,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_017
M3_POLY_PT069,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,계산 결과가 유리수가 될 조건,standard,M3_POLY_C018,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_018
M3_POLY_PT070,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,계산 결과가 유리수가 될 조건 - 계산 수행,advanced,M3_POLY_C018,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_018
M3_POLY_PT071,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,계산 결과가 유리수가 될 조건 - 조건 적용,basic,M3_POLY_C018,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_018
M3_POLY_PT072,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,계산 결과가 유리수가 될 조건 - 종합 활용,core,M3_POLY_C018,"multiplication_formula,middle_term,sign_error,numeric_calculation",8,M3_POLY_RAW_018
M3_POLY_PT073,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,분모의 유리화,advanced,M3_POLY_C019,"multiplication_formula,middle_term,sign_error,numeric_calculation",9,M3_POLY_RAW_019
M3_POLY_PT074,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,분모의 유리화 - 계산 수행,basic,M3_POLY_C019,"multiplication_formula,middle_term,sign_error,numeric_calculation",9,M3_POLY_RAW_019
M3_POLY_PT075,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,분모의 유리화 - 조건 적용,core,M3_POLY_C019,"multiplication_formula,middle_term,sign_error,numeric_calculation",9,M3_POLY_RAW_019
M3_POLY_PT076,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,분모의 유리화 - 종합 활용,standard,M3_POLY_C019,"multiplication_formula,middle_term,sign_error,numeric_calculation",9,M3_POLY_RAW_019
M3_POLY_PT077,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,수가 주어진 식의 값,basic,M3_POLY_C020,"multiplication_formula,middle_term,sign_error,expression_value",9,M3_POLY_RAW_020
M3_POLY_PT078,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,수가 주어진 식의 값 - 계산 수행,core,M3_POLY_C020,"multiplication_formula,middle_term,sign_error,expression_value",9,M3_POLY_RAW_020
M3_POLY_PT079,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,수가 주어진 식의 값 - 조건 적용,standard,M3_POLY_C020,"multiplication_formula,middle_term,sign_error,expression_value",9,M3_POLY_RAW_020
M3_POLY_PT080,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,수가 주어진 식의 값 - 종합 활용,advanced,M3_POLY_C020,"multiplication_formula,middle_term,sign_error,expression_value",9,M3_POLY_RAW_020
M3_POLY_PT081,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 합·차·곱이 주어진 식의 값,core,M3_POLY_C021,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_021
M3_POLY_PT082,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 합·차·곱이 주어진 식의 값 - 계산 수행,standard,M3_POLY_C021,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_021
M3_POLY_PT083,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 합·차·곱이 주어진 식의 값 - 조건 적용,advanced,M3_POLY_C021,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_021
M3_POLY_PT084,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 합·차·곱이 주어진 식의 값 - 종합 활용,basic,M3_POLY_C021,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_021
M3_POLY_PT085,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 곱이 1인 경우와 식 만들기,standard,M3_POLY_C022,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_022
M3_POLY_PT086,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 곱이 1인 경우와 식 만들기 - 계산 수행,advanced,M3_POLY_C022,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_022
M3_POLY_PT087,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 곱이 1인 경우와 식 만들기 - 조건 적용,basic,M3_POLY_C022,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_022
M3_POLY_PT088,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,두 수의 곱이 1인 경우와 식 만들기 - 종합 활용,core,M3_POLY_C022,"multiplication_formula,middle_term,sign_error,numeric_calculation",10,M3_POLY_RAW_022
M3_POLY_PT089,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,식을 먼저 간단히 하여 값 구하기,advanced,M3_POLY_C023,"multiplication_formula,middle_term,sign_error",11,M3_POLY_RAW_023
M3_POLY_PT090,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,식을 먼저 간단히 하여 값 구하기 - 계산 수행,basic,M3_POLY_C023,"multiplication_formula,middle_term,sign_error",11,M3_POLY_RAW_023
M3_POLY_PT091,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,식을 먼저 간단히 하여 값 구하기 - 조건 적용,core,M3_POLY_C023,"multiplication_formula,middle_term,sign_error",11,M3_POLY_RAW_023
M3_POLY_PT092,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,식을 먼저 간단히 하여 값 구하기 - 종합 활용,standard,M3_POLY_C023,"multiplication_formula,middle_term,sign_error",11,M3_POLY_RAW_023
M3_POLY_PT093,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,무리수의 정수 부분과 소수 부분,basic,M3_POLY_C024,"multiplication_formula,middle_term,sign_error,numeric_calculation",11,M3_POLY_RAW_024
M3_POLY_PT094,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,무리수의 정수 부분과 소수 부분 - 계산 수행,core,M3_POLY_C024,"multiplication_formula,middle_term,sign_error,numeric_calculation",11,M3_POLY_RAW_024
M3_POLY_PT095,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,무리수의 정수 부분과 소수 부분 - 조건 적용,standard,M3_POLY_C024,"multiplication_formula,middle_term,sign_error,numeric_calculation",11,M3_POLY_RAW_024
M3_POLY_PT096,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,무리수의 정수 부분과 소수 부분 - 종합 활용,advanced,M3_POLY_C024,"multiplication_formula,middle_term,sign_error,numeric_calculation",11,M3_POLY_RAW_024
M3_POLY_PT097,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수의 뜻과 주어진 식의 인수,core,M3_POLY_C025,"factorization,common_factor,formula_selection,numeric_calculation",12,M3_POLY_RAW_025
M3_POLY_PT098,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수의 뜻과 주어진 식의 인수 - 계산 수행,standard,M3_POLY_C025,"factorization,common_factor,formula_selection,numeric_calculation",12,M3_POLY_RAW_025
M3_POLY_PT099,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수의 뜻과 주어진 식의 인수 - 조건 적용,advanced,M3_POLY_C025,"factorization,common_factor,formula_selection,numeric_calculation",12,M3_POLY_RAW_025
M3_POLY_PT100,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수의 뜻과 주어진 식의 인수 - 종합 활용,basic,M3_POLY_C025,"factorization,common_factor,formula_selection,numeric_calculation",12,M3_POLY_RAW_025
M3_POLY_PT101,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수분해하기 전의 식 구하기,standard,M3_POLY_C026,"factorization,common_factor,formula_selection",12,M3_POLY_RAW_026
M3_POLY_PT102,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수분해하기 전의 식 구하기 - 계산 수행,advanced,M3_POLY_C026,"factorization,common_factor,formula_selection",12,M3_POLY_RAW_026
M3_POLY_PT103,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수분해하기 전의 식 구하기 - 조건 적용,basic,M3_POLY_C026,"factorization,common_factor,formula_selection",12,M3_POLY_RAW_026
M3_POLY_PT104,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,인수분해하기 전의 식 구하기 - 종합 활용,core,M3_POLY_C026,"factorization,common_factor,formula_selection",12,M3_POLY_RAW_026
M3_POLY_PT105,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통인수를 이용한 인수분해,advanced,M3_POLY_C027,"factorization,common_factor,formula_selection","12,18",M3_POLY_RAW_027
M3_POLY_PT106,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통인수를 이용한 인수분해 - 계산 수행,basic,M3_POLY_C027,"factorization,common_factor,formula_selection","12,18",M3_POLY_RAW_027
M3_POLY_PT107,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,공통인수를 이용한 인수분해 - 조건 적용,core,M3_POLY_C027,"factorization,common_factor,formula_selection","12,18",M3_POLY_RAW_027
M3_POLY_PT108,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식 인수분해,basic,M3_POLY_C028,"factorization,common_factor,formula_selection",13,M3_POLY_RAW_028
M3_POLY_PT109,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식 인수분해 - 계산 수행,core,M3_POLY_C028,"factorization,common_factor,formula_selection",13,M3_POLY_RAW_028
M3_POLY_PT110,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식 인수분해 - 조건 적용,standard,M3_POLY_C028,"factorization,common_factor,formula_selection",13,M3_POLY_RAW_028
M3_POLY_PT111,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식이 될 조건,core,M3_POLY_C029,"factorization,common_factor,formula_selection,expression_value","13,14",M3_POLY_RAW_029
M3_POLY_PT112,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식이 될 조건 - 계산 수행,standard,M3_POLY_C029,"factorization,common_factor,formula_selection,expression_value","13,14",M3_POLY_RAW_029
M3_POLY_PT113,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,완전제곱식이 될 조건 - 조건 적용,advanced,M3_POLY_C029,"factorization,common_factor,formula_selection,expression_value","13,14",M3_POLY_RAW_029
M3_POLY_PT114,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,근호 안이 완전제곱식이 되도록 하는 식,standard,M3_POLY_C030,"factorization,common_factor,formula_selection",14,M3_POLY_RAW_030
M3_POLY_PT115,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,근호 안이 완전제곱식이 되도록 하는 식 - 계산 수행,advanced,M3_POLY_C030,"factorization,common_factor,formula_selection",14,M3_POLY_RAW_030
M3_POLY_PT116,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,근호 안이 완전제곱식이 되도록 하는 식 - 조건 적용,basic,M3_POLY_C030,"factorization,common_factor,formula_selection",14,M3_POLY_RAW_030
M3_POLY_PT117,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,a^2-b^2 인수분해,advanced,M3_POLY_C031,"factorization,common_factor,formula_selection",14,M3_POLY_RAW_031
