problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M2_NE_PT026,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 표현,순환소수의 표현 범주의 '순환소수의 표현' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C009"", ""M2_NE_C020""]",basic,"[""repeating_decimal_notation"", ""decimal_judgment""]",[3],M2_NE_RAW_010,curated_problem_type_from_raw_taxonomy
M2_NE_PT027,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 판별,순환소수의 표현 범주의 '순환소수의 판별' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C009"", ""M2_NE_C020""]",basic,"[""repeating_decimal_notation"", ""decimal_judgment""]",[3],M2_NE_RAW_010,curated_problem_type_from_raw_taxonomy
M2_NE_PT028,중2,M2_NUMBER_EXPRESSION,수와 식,분수의 순환소수 표현,분수를 순환소수로 나타내기 범주의 '분수의 순환소수 표현' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C004"", ""M2_NE_C009"", ""M2_NE_C014""]",core,"[""fraction_to_repeating_decimal"", ""repetend""]",[4],M2_NE_RAW_011,curated_problem_type_from_raw_taxonomy
M2_NE_PT029,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수로만 나타낼 수 있는 분수 판별,분수를 순환소수로 나타내기 범주의 '순환소수로만 나타낼 수 있는 분수 판별' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C004"", ""M2_NE_C009"", ""M2_NE_C014""]",core,"[""fraction_to_repeating_decimal"", ""repetend""]",[4],M2_NE_RAW_011,curated_problem_type_from_raw_taxonomy
M2_NE_PT030,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 소수점 아래 n번째 숫자 구하기,소수점 아래 n번째 자리의 숫자 구하기 범주의 '순환소수의 소수점 아래 n번째 숫자 구하기' 유형을 진단한다.,"[""M2_NE_C010"", ""M2_NE_C011""]",advanced,"[""nth_digit"", ""repetend_cycle"", ""modular_pattern""]",[4],M2_NE_RAW_012,curated_problem_type_from_raw_taxonomy
M2_NE_PT031,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 소수점 아래 여러 개의 숫자 구하기,소수점 아래 n번째 자리의 숫자 구하기 범주의 '순환소수의 소수점 아래 여러 개의 숫자 구하기' 유형을 진단한다.,"[""M2_NE_C010"", ""M2_NE_C011""]",advanced,"[""nth_digit"", ""repetend_cycle"", ""modular_pattern""]",[4],M2_NE_RAW_012,curated_problem_type_from_raw_taxonomy
M2_NE_PT032,중2,M2_NUMBER_EXPRESSION,수와 식,분수를 소수로 나타낼 때 순환소수의 소수점 아래 n번째 숫자 구하기,소수점 아래 n번째 자리의 숫자 구하기 범주의 '분수를 소수로 나타낼 때 순환소수의 소수점 아래 n번째 숫자 구하기' 유형을 진단한다.,"[""M2_NE_C010"", ""M2_NE_C011""]",advanced,"[""nth_digit"", ""repetend_cycle"", ""modular_pattern""]",[4],M2_NE_RAW_012,curated_problem_type_from_raw_taxonomy
M2_NE_PT033,중2,M2_NUMBER_EXPRESSION,수와 식,분수를 소수로 나타낼 때 순환소수의 소수점 아래 여러 개의 숫자 구하기,소수점 아래 n번째 자리의 숫자 구하기 범주의 '분수를 소수로 나타낼 때 순환소수의 소수점 아래 여러 개의 숫자 구하기' 유형을 진단한다.,"[""M2_NE_C010"", ""M2_NE_C011""]",advanced,"[""nth_digit"", ""repetend_cycle"", ""modular_pattern""]",[4],M2_NE_RAW_012,curated_problem_type_from_raw_taxonomy
M2_NE_PT034,중2,M2_NUMBER_EXPRESSION,수와 식,x/A를 순환소수가 되도록 하는 x,순환소수가 되도록 하는 미지수의 값 범주의 'x/A를 순환소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C014""]",advanced,"[""repeating_decimal_condition"", ""unknown_value"", ""denominator_factor""]",[4],M2_NE_RAW_013,curated_problem_type_from_raw_taxonomy
M2_NE_PT035,중2,M2_NUMBER_EXPRESSION,수와 식,A/x를 순환소수가 되도록 하는 x,순환소수가 되도록 하는 미지수의 값 범주의 'A/x를 순환소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C014""]",advanced,"[""repeating_decimal_condition"", ""unknown_value"", ""denominator_factor""]",[4],M2_NE_RAW_013,curated_problem_type_from_raw_taxonomy
M2_NE_PT036,중2,M2_NUMBER_EXPRESSION,수와 식,A/BX를 순환소수가 되도록 하는 x,순환소수가 되도록 하는 미지수의 값 범주의 'A/BX를 순환소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C014""]",advanced,"[""repeating_decimal_condition"", ""unknown_value"", ""denominator_factor""]",[4],M2_NE_RAW_013,curated_problem_type_from_raw_taxonomy
M2_NE_PT037,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수를 분수로 나타낼 때 가장 편리한 식,순환소수를 분수로 나타내기(1) - 10의 거듭제곱 이용 범주의 '순환소수를 분수로 나타낼 때 가장 편리한 식' 유형을 진단한다.,"[""M2_NE_C012""]",core,"[""repeating_to_fraction"", ""power_of_10_method""]",[5],M2_NE_RAW_014,curated_problem_type_from_raw_taxonomy
M2_NE_PT038,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수를 분수로 나타내는 과정,순환소수를 분수로 나타내기(1) - 10의 거듭제곱 이용 범주의 '순환소수를 분수로 나타내는 과정' 유형을 진단한다.,"[""M2_NE_C012""]",core,"[""repeating_to_fraction"", ""power_of_10_method""]",[5],M2_NE_RAW_014,curated_problem_type_from_raw_taxonomy
M2_NE_PT039,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수를 분수로 나타내기,순환소수를 분수로 나타내기(1) - 10의 거듭제곱 이용 범주의 '순환소수를 분수로 나타내기' 유형을 진단한다.,"[""M2_NE_C012""]",core,"[""repeating_to_fraction"", ""power_of_10_method""]",[5],M2_NE_RAW_014,curated_problem_type_from_raw_taxonomy
M2_NE_PT040,중2,M2_NUMBER_EXPRESSION,수와 식,소수점 아래 모두 순환하는 경우,순환소수를 분수로 나타내기(2) - 공식 이용 범주의 '소수점 아래 모두 순환하는 경우' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013""]",core,"[""repeating_to_fraction"", ""formula_method"", ""mixed_repetend""]",[5],M2_NE_RAW_015,curated_problem_type_from_raw_taxonomy
M2_NE_PT041,중2,M2_NUMBER_EXPRESSION,수와 식,소수점 아래 일부 순환하는 경우,순환소수를 분수로 나타내기(2) - 공식 이용 범주의 '소수점 아래 일부 순환하는 경우' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013""]",core,"[""repeating_to_fraction"", ""formula_method"", ""mixed_repetend""]",[5],M2_NE_RAW_015,curated_problem_type_from_raw_taxonomy
M2_NE_PT042,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 분수 표현,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우 범주의 '순환소수의 분수 표현' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C014""]",advanced,"[""repeating_to_fraction"", ""infinite_sum"", ""fraction_expression""]",[5],M2_NE_RAW_016,curated_problem_type_from_raw_taxonomy
M2_NE_PT043,중2,M2_NUMBER_EXPRESSION,수와 식,무한한 소수의 합으로 표현한 순환소수,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우 범주의 '무한한 소수의 합으로 표현한 순환소수' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C014""]",advanced,"[""repeating_to_fraction"", ""infinite_sum"", ""fraction_expression""]",[5],M2_NE_RAW_016,curated_problem_type_from_raw_taxonomy
M2_NE_PT044,중2,M2_NUMBER_EXPRESSION,수와 식,분모가 10의 거듭제곱 꼴인 분수의 합으로 표현한 순환소수,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우 범주의 '분모가 10의 거듭제곱 꼴인 분수의 합으로 표현한 순환소수' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C014""]",advanced,"[""repeating_to_fraction"", ""infinite_sum"", ""fraction_expression""]",[5],M2_NE_RAW_016,curated_problem_type_from_raw_taxonomy
M2_NE_PT045,중2,M2_NUMBER_EXPRESSION,수와 식,분수 표현의 활용,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우 범주의 '분수 표현의 활용' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C014""]",advanced,"[""repeating_to_fraction"", ""infinite_sum"", ""fraction_expression""]",[5],M2_NE_RAW_016,curated_problem_type_from_raw_taxonomy
M2_NE_PT046,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 정수 표현,순환소수를 정수/유한소수로 나타내기 범주의 '순환소수의 정수 표현' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",core,"[""repeating_to_integer"", ""condition_judgment""]",[6],M2_NE_RAW_017,curated_problem_type_from_raw_taxonomy
M2_NE_PT047,중2,M2_NUMBER_EXPRESSION,수와 식,정수 표현 가능한 순환소수 판별,순환소수를 정수/유한소수로 나타내기 범주의 '정수 표현 가능한 순환소수 판별' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",core,"[""repeating_to_integer"", ""condition_judgment""]",[6],M2_NE_RAW_017,curated_problem_type_from_raw_taxonomy
M2_NE_PT048,중2,M2_NUMBER_EXPRESSION,수와 식,대소관계 판별,순환소수의 대소관계 범주의 '대소관계 판별' 유형을 진단한다.,"[""M2_NE_C015""]",core,"[""repeating_decimal_compare"", ""decimal_order""]",[6],M2_NE_RAW_018,curated_problem_type_from_raw_taxonomy
M2_NE_PT049,중2,M2_NUMBER_EXPRESSION,수와 식,대소관계 응용,순환소수의 대소관계 범주의 '대소관계 응용' 유형을 진단한다.,"[""M2_NE_C015""]",core,"[""repeating_decimal_compare"", ""decimal_order""]",[6],M2_NE_RAW_018,curated_problem_type_from_raw_taxonomy
M2_NE_PT050,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수의 사칙연산,순환소수를 포함한 식의 계산 범주의 '순환소수의 사칙연산' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C016""]",advanced,"[""repeating_decimal_operation"", ""fraction_conversion""]",[6],M2_NE_RAW_019,curated_problem_type_from_raw_taxonomy
M2_NE_PT051,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수 연산의 응용,순환소수를 포함한 식의 계산 범주의 '순환소수 연산의 응용' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C016""]",advanced,"[""repeating_decimal_operation"", ""fraction_conversion""]",[6],M2_NE_RAW_019,curated_problem_type_from_raw_taxonomy
M2_NE_PT052,중2,M2_NUMBER_EXPRESSION,수와 식,순환소수 활용의 연산,순환소수를 포함한 식의 계산 범주의 '순환소수 활용의 연산' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C016""]",advanced,"[""repeating_decimal_operation"", ""fraction_conversion""]",[6],M2_NE_RAW_019,curated_problem_type_from_raw_taxonomy
M2_NE_PT053,중2,M2_NUMBER_EXPRESSION,수와 식,부등식을 만족하는 정수,순환소수를 포함한 부등식의 계산 범주의 '부등식을 만족하는 정수' 유형을 진단한다.,"[""M2_NE_C015"", ""M2_NE_C017""]",advanced,"[""inequality"", ""repeating_decimal_compare""]",[6],M2_NE_RAW_020,curated_problem_type_from_raw_taxonomy
M2_NE_PT054,중2,M2_NUMBER_EXPRESSION,수와 식,부등식을 만족하는 순환소수,순환소수를 포함한 부등식의 계산 범주의 '부등식을 만족하는 순환소수' 유형을 진단한다.,"[""M2_NE_C015"", ""M2_NE_C017""]",advanced,"[""inequality"", ""repeating_decimal_compare""]",[6],M2_NE_RAW_020,curated_problem_type_from_raw_taxonomy
M2_NE_PT055,중2,M2_NUMBER_EXPRESSION,수와 식,등식이 주어진 경우 하나의 미지수 구하기,순환소수를 포함한 등식에서 미지수의 값 구하기 범주의 '등식이 주어진 경우 하나의 미지수 구하기' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",advanced,"[""repeating_decimal_equation"", ""unknown_value"", ""condition_interpretation""]",[7],M2_NE_RAW_021,curated_problem_type_from_raw_taxonomy
M2_NE_PT056,중2,M2_NUMBER_EXPRESSION,수와 식,등식이 주어지지 않은 경우 하나의 미지수 구하기,순환소수를 포함한 등식에서 미지수의 값 구하기 범주의 '등식이 주어지지 않은 경우 하나의 미지수 구하기' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",advanced,"[""repeating_decimal_equation"", ""unknown_value"", ""condition_interpretation""]",[7],M2_NE_RAW_021,curated_problem_type_from_raw_taxonomy
M2_NE_PT057,중2,M2_NUMBER_EXPRESSION,수와 식,등식이 주어진 경우 두 개 이상의 미지수 구하기,순환소수를 포함한 등식에서 미지수의 값 구하기 범주의 '등식이 주어진 경우 두 개 이상의 미지수 구하기' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",advanced,"[""repeating_decimal_equation"", ""unknown_value"", ""condition_interpretation""]",[7],M2_NE_RAW_021,curated_problem_type_from_raw_taxonomy
M2_NE_PT058,중2,M2_NUMBER_EXPRESSION,수와 식,등식이 주어지지 않은 경우 두 개 이상의 미지수 구하기,순환소수를 포함한 등식에서 미지수의 값 구하기 범주의 '등식이 주어지지 않은 경우 두 개 이상의 미지수 구하기' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C017""]",advanced,"[""repeating_decimal_equation"", ""unknown_value"", ""condition_interpretation""]",[7],M2_NE_RAW_021,curated_problem_type_from_raw_taxonomy
M2_NE_PT059,중2,M2_NUMBER_EXPRESSION,수와 식,분자 혹은 분모만 잘못 보고 나타낸 순환소수가 주어진 경우,분자 또는 분모를 잘못 보고 소수로 나타낸 경우 범주의 '분자 혹은 분모만 잘못 보고 나타낸 순환소수가 주어진 경우' 유형을 진단한다.,"[""M2_NE_C018""]",advanced,"[""wrong_fraction_reading"", ""error_reconstruction""]",[7],M2_NE_RAW_022,curated_problem_type_from_raw_taxonomy
M2_NE_PT060,중2,M2_NUMBER_EXPRESSION,수와 식,분자와 분모를 잘못 보고 나타낸 순환소수가 모두 주어진 경우,분자 또는 분모를 잘못 보고 소수로 나타낸 경우 범주의 '분자와 분모를 잘못 보고 나타낸 순환소수가 모두 주어진 경우' 유형을 진단한다.,"[""M2_NE_C018""]",advanced,"[""wrong_fraction_reading"", ""error_reconstruction""]",[7],M2_NE_RAW_022,curated_problem_type_from_raw_taxonomy
M2_NE_PT061,중2,M2_NUMBER_EXPRESSION,수와 식,잘못 계산한 값이 주어진 경우,잘못 계산한 경우 어떤 수/바르게 계산한 값 구하기 범주의 '잘못 계산한 값이 주어진 경우' 유형을 진단한다.,"[""M2_NE_C018"", ""M2_NE_C016""]",advanced,"[""wrong_calculation"", ""correct_value"", ""reverse_reasoning""]",[7],M2_NE_RAW_023,curated_problem_type_from_raw_taxonomy
M2_NE_PT062,중2,M2_NUMBER_EXPRESSION,수와 식,잘못 계산한 값과의 차이가 주어진 경우,잘못 계산한 경우 어떤 수/바르게 계산한 값 구하기 범주의 '잘못 계산한 값과의 차이가 주어진 경우' 유형을 진단한다.,"[""M2_NE_C018"", ""M2_NE_C016""]",advanced,"[""wrong_calculation"", ""correct_value"", ""reverse_reasoning""]",[7],M2_NE_RAW_023,curated_problem_type_from_raw_taxonomy
M2_NE_PT063,중2,M2_NUMBER_EXPRESSION,수와 식,자연수가 되도록 하는 경우,(순환소수)×x가 유한소수 또는 자연수가 되도록 하는 x의 값 구하기 범주의 '자연수가 되도록 하는 경우' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C019""]",advanced,"[""unknown_multiplier"", ""finite_decimal_condition"", ""natural_number_condition""]",[8],M2_NE_RAW_024,curated_problem_type_from_raw_taxonomy
M2_NE_PT064,중2,M2_NUMBER_EXPRESSION,수와 식,유한소수가 되도록 하는 경우,(순환소수)×x가 유한소수 또는 자연수가 되도록 하는 x의 값 구하기 범주의 '유한소수가 되도록 하는 경우' 유형을 진단한다.,"[""M2_NE_C012"", ""M2_NE_C013"", ""M2_NE_C019""]",advanced,"[""unknown_multiplier"", ""finite_decimal_condition"", ""natural_number_condition""]",[8],M2_NE_RAW_024,curated_problem_type_from_raw_taxonomy
