problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_SG_PT054,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체가 원기둥형일 때 겉넓이와 부피 구하기,회전체가 원기둥형일 때 겉넓이와 부피 구하기,"[""M1_SG_C018"", ""M1_SG_C020"", ""M1_SG_C034""]",advanced,"[""solid_of_revolution"", ""surface_area_volume""]",[8],curated_problem_type_from_raw_taxonomy
M1_SG_PT055,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각뿔의 겉넓이 구하기,각뿔의 겉넓이 구하기,"[""M1_SG_C023""]",core,"[""pyramid_surface_area"", ""lateral_triangle""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT056,중1,M1_SOLID_GEOMETRY,입체도형의 성질,전개도가 주어진 각뿔의 겉넓이 구하기,전개도가 주어진 각뿔의 겉넓이 구하기,"[""M1_SG_C023"", ""M1_SG_C015""]",core,"[""pyramid_net"", ""surface_area""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT057,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔의 겉넓이 구하기,원뿔의 겉넓이 구하기,"[""M1_SG_C024""]",core,"[""cone_surface_area"", ""sector""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT058,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔 전개도와 중심각 조건으로 겉넓이 구하기,원뿔 전개도와 중심각 조건으로 겉넓이 구하기,"[""M1_SG_C024"", ""M1_SG_C015""]",advanced,"[""cone_net"", ""central_angle"", ""surface_area""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT059,중1,M1_SOLID_GEOMETRY,입체도형의 성질,뿔대의 겉넓이 구하기,뿔대의 겉넓이 구하기,"[""M1_SG_C025""]",advanced,"[""frustum_surface_area"", ""net""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT060,중1,M1_SOLID_GEOMETRY,입체도형의 성질,전개도가 주어진 뿔대의 겉넓이 구하기,전개도가 주어진 뿔대의 겉넓이 구하기,"[""M1_SG_C025"", ""M1_SG_C015""]",advanced,"[""frustum_net"", ""surface_area""]",[9],curated_problem_type_from_raw_taxonomy
M1_SG_PT061,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각뿔의 부피 구하기,각뿔의 부피 구하기,"[""M1_SG_C026""]",core,"[""pyramid_volume"", ""one_third""]",[10],curated_problem_type_from_raw_taxonomy
M1_SG_PT062,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각뿔의 부피가 주어진 조건 활용하기,각뿔의 부피가 주어진 조건 활용하기,"[""M1_SG_C026"", ""M1_SG_C036""]",advanced,"[""pyramid_volume"", ""reverse_reasoning""]",[10],curated_problem_type_from_raw_taxonomy
M1_SG_PT063,중1,M1_SOLID_GEOMETRY,입체도형의 성질,직육면체 내부 각뿔의 부피 구하기,직육면체 내부 각뿔의 부피 구하기,"[""M1_SG_C026"", ""M1_SG_C019""]",advanced,"[""pyramid_volume"", ""cuboid_inside""]",[10],curated_problem_type_from_raw_taxonomy
M1_SG_PT064,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥에서 잘라 낸 각뿔의 부피 구하기,각기둥에서 잘라 낸 각뿔의 부피 구하기,"[""M1_SG_C026"", ""M1_SG_C022""]",advanced,"[""cut_solid"", ""pyramid_volume""]",[10],curated_problem_type_from_raw_taxonomy
M1_SG_PT065,중1,M1_SOLID_GEOMETRY,입체도형의 성질,그릇에 담긴 물의 부피와 높이 비교하기,그릇에 담긴 물의 부피와 높이 비교하기,"[""M1_SG_C029"", ""M1_SG_C026"", ""M1_SG_C027""]",advanced,"[""water_volume"", ""volume_comparison""]",[10],curated_problem_type_from_raw_taxonomy
M1_SG_PT066,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔의 부피 구하기,원뿔의 부피 구하기,"[""M1_SG_C027""]",core,"[""cone_volume"", ""one_third""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT067,중1,M1_SOLID_GEOMETRY,입체도형의 성질,두 입체도형의 부피 비교하기,두 입체도형의 부피 비교하기,"[""M1_SG_C027"", ""M1_SG_C026"", ""M1_SG_C036""]",advanced,"[""volume_comparison"", ""condition_interpretation""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT068,중1,M1_SOLID_GEOMETRY,입체도형의 성질,뿔대의 부피 구하기,뿔대의 부피 구하기,"[""M1_SG_C028""]",advanced,"[""frustum_volume"", ""difference_of_solids""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT069,중1,M1_SOLID_GEOMETRY,입체도형의 성질,두 도형이 붙어 있는 뿔대형 입체의 부피 구하기,두 도형이 붙어 있는 뿔대형 입체의 부피 구하기,"[""M1_SG_C028"", ""M1_SG_C034""]",advanced,"[""compound_solid"", ""frustum_volume""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT070,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체가 원뿔형일 때 겉넓이와 부피 구하기,회전체가 원뿔형일 때 겉넓이와 부피 구하기,"[""M1_SG_C024"", ""M1_SG_C027"", ""M1_SG_C034""]",advanced,"[""solid_of_revolution"", ""cone_surface_area"", ""cone_volume""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT071,중1,M1_SOLID_GEOMETRY,입체도형의 성질,가운데가 비어 있는 원뿔형 회전체의 겉넓이와 부피 구하기,가운데가 비어 있는 원뿔형 회전체의 겉넓이와 부피 구하기,"[""M1_SG_C021"", ""M1_SG_C024"", ""M1_SG_C027"", ""M1_SG_C034""]",advanced,"[""hole_solid"", ""solid_of_revolution""]",[11],curated_problem_type_from_raw_taxonomy
M1_SG_PT072,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체가 원뿔대형일 때 겉넓이와 부피 구하기,회전체가 원뿔대형일 때 겉넓이와 부피 구하기,"[""M1_SG_C025"", ""M1_SG_C028"", ""M1_SG_C034""]",advanced,"[""frustum"", ""solid_of_revolution""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT073,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구의 겉넓이 구하기,구의 겉넓이 구하기,"[""M1_SG_C030""]",core,"[""sphere_surface_area"", ""radius""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT074,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구의 겉넓이가 주어진 조건 활용하기,구의 겉넓이가 주어진 조건 활용하기,"[""M1_SG_C030"", ""M1_SG_C036""]",advanced,"[""sphere_surface_area"", ""reverse_reasoning""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT075,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구의 부피 구하기,구의 부피 구하기,"[""M1_SG_C031""]",core,"[""sphere_volume"", ""radius""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT076,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구의 부피가 주어진 조건 활용하기,구의 부피가 주어진 조건 활용하기,"[""M1_SG_C031"", ""M1_SG_C036""]",advanced,"[""sphere_volume"", ""reverse_reasoning""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT077,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구와 다른 도형을 둘러넣는 경우 겉넓이·부피 판단하기,구와 다른 도형을 둘러넣는 경우 겉넓이·부피 판단하기,"[""M1_SG_C032"", ""M1_SG_C030"", ""M1_SG_C031""]",advanced,"[""inscribed_circumscribed"", ""sphere""]",[12],curated_problem_type_from_raw_taxonomy
M1_SG_PT078,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체가 구형일 때 겉넓이와 부피 구하기,회전체가 구형일 때 겉넓이와 부피 구하기,"[""M1_SG_C030"", ""M1_SG_C031"", ""M1_SG_C034""]",advanced,"[""solid_of_revolution"", ""sphere""]",[13],curated_problem_type_from_raw_taxonomy
M1_SG_PT079,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥에 꼭 맞게 들어가는 구의 반지름 조건 찾기,원기둥에 꼭 맞게 들어가는 구의 반지름 조건 찾기,"[""M1_SG_C033"", ""M1_SG_C032""]",advanced,"[""cylinder_sphere_fit"", ""inscribed""]",[13],curated_problem_type_from_raw_taxonomy
M1_SG_PT080,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥에 꼭 맞게 들어가는 원뿔 조건 찾기,원기둥에 꼭 맞게 들어가는 원뿔 조건 찾기,"[""M1_SG_C033"", ""M1_SG_C027""]",advanced,"[""cylinder_cone_fit"", ""inscribed""]",[13],curated_problem_type_from_raw_taxonomy
M1_SG_PT081,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구에 꼭 맞게 들어가는 입체도형 조건 찾기,구에 꼭 맞게 들어가는 입체도형 조건 찾기,"[""M1_SG_C035"", ""M1_SG_C032""]",advanced,"[""sphere_fit"", ""spatial_visualization""]",[13],curated_problem_type_from_raw_taxonomy
M1_SG_PT082,중1,M1_SOLID_GEOMETRY,입체도형의 성질,직육면체에 꼭 맞게 들어가는 입체도형 조건 찾기,직육면체에 꼭 맞게 들어가는 입체도형 조건 찾기,"[""M1_SG_C035"", ""M1_SG_C032""]",advanced,"[""cuboid_fit"", ""spatial_diagonal""]",[13],curated_problem_type_from_raw_taxonomy
M1_SG_PT083,중1,M1_SOLID_GEOMETRY,입체도형의 성질,겉넓이와 부피가 함께 주어진 입체도형 종합 문제 해결하기,겉넓이와 부피가 함께 주어진 입체도형 종합 문제 해결하기,"[""M1_SG_C034"", ""M1_SG_C036""]",advanced,"[""integrated_surface_volume"", ""reverse_reasoning""]","[8, 9, 10, 11, 12, 13]",curated_problem_type_from_raw_taxonomy
