item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_SIMPY_150_S04_Q011,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,011,3,43,79a35fc94dae8411a09f5be1dceb2ef357fe087d8c6400a51dc8131b8861d3ad,d8b1355f44e4a09389fdf8d4c90126c98c6c6d6e1e8d24ab08a1b2ab13e2f9c5,삼각형의 닮음 조건의 응용(2) AA 닮음,180/7cm,length,M2_SIMPY_PT023,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,70,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT023,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT023__M2SIMPY150S04_Q011,M2_SIMPY_PT023::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q012,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,012,3,43,0a6d2963e680b1485bbe935b4ce91d5f656e0c1bbe8cb2be688842d9c3ed801f,d5503d4fa05ef7f6f828dcf566dd6ba757505109b4fe80555126df492a667859,삼각형의 닮음 조건의 응용(2) AA 닮음,5cm,length,M2_SIMPY_PT023,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,60,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT023,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT023__M2SIMPY150S04_Q012,M2_SIMPY_PT023::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q013,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,013,4,43,3640bc687d83f3d121d4d6ee816cb3c908bd77dbaef0988b287fd6e223a5462a,bd80125186a840b010844b7d71d379581943777d662033a1e3c1b762e250b748,평행선에서 삼각형의 닮음 조건의 응용,24,integer,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,71,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S04_Q013,M2_SIMPY_PT026::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q014,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,014,4,43,ea5347288998c0e2495be4866fb7bb01ada3a5af4543221de62896a2a6abca58,a3a6c5a3f6c55cd77c96f781581c045953586c20f4d2df1a00c1e6a49f175e11,평행선에서 삼각형의 닮음 조건의 응용,4.5cm,length,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,65,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S04_Q014,M2_SIMPY_PT026::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q015,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,015,4,43,436d73c403214366e04bc3d13edeae49393a0b6dad3d20cd1d3772f533540bc3,73de1968687a50afcc981d32922cd22eb575e412579fd5839abba02ab26bc6fa,평행선에서 삼각형의 닮음 조건의 응용,8/3cm,length,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,67,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S04_Q015,M2_SIMPY_PT026::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q016,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,016,4,43,a29eed33b92d45e42c8f148a573eb33280375b8a56bb2db9e58340f3c74eebca,64c69a2accbc524ce07eadb98df8c68dfc787df7be87329a9a93673c9e1826da,직각삼각형의 닮음(1) 공통인 각이 있는 경우,36cm²,area,M2_SIMPY_PT029,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,76,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT029,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT029__M2SIMPY150S04_Q016,M2_SIMPY_PT029::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q017,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,017,5,44,b6568e9337bea987dc8b25e46aba71ef3698f54701bb6a4fabb2583ab5368bfe,59bb60dd98ed60aeced9c7e7ad2d97b2208f55868ddc6634756bb1de9348a1f3,직각삼각형의 닮음(1) 공통인 각이 있는 경우,choice:3,single_choice,M2_SIMPY_PT028,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,79,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT028,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT028__M2SIMPY150S04_Q017,M2_SIMPY_PT028::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q018,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,018,5,44,ac42e525708fea57f87c7bc23a6050da0c967a815ce31b024429efd424b2d1dd,78dc1bc4d38d5e8a73156dfd14f66df6d19f0fb8512961f09406126b37ecaeb7,직각삼각형의 닮음(1) 공통인 각이 있는 경우,40cm²,area,M2_SIMPY_PT029,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,75,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT029,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT029__M2SIMPY150S04_Q018,M2_SIMPY_PT029::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q019,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,019,5,44,a7fbe5b1574b4d10656aa949c918d2d8e987d6deb254348f8484b5ac744187d7,954048358a5008fbc3b3bfd06f70e2249b56b570740218330b984963daa2492e,직각삼각형의 닮음(2) 한 예각의 크기가 같은 경우,choice:2,single_choice,M2_SIMPY_PT031,,M2_SIMPY_C011,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,66,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT031,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT031__M2SIMPY150S04_Q019,M2_SIMPY_PT031::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q020,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,020,5,44,f46b1c248d1887e341e97c8d90d7b87ad9792cdc2fde01bf378a65ff0f7adf97,a493075b169858543c37225b1c4270bedd84d26efaf41472a9eac2ea98f08f28,직각삼각형의 닮음(2) 한 예각의 크기가 같은 경우,192cm²,area,M2_SIMPY_PT033,,M2_SIMPY_C011,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,56,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT033,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT033__M2SIMPY150S04_Q020,M2_SIMPY_PT033::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q021,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,021,6,44,e826556d0f0d76d2db8c7f84fd136f3d72838f3768fa592e43640e152eade710,552690ed6222a6216b86ef3a171abe7990d8187266a56a0f34838281e6129966,직각삼각형의 닮음의 응용,18/5,fraction,M2_SIMPY_PT036,,M2_SIMPY_C012,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,53,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT036,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT036__M2SIMPY150S04_Q021,M2_SIMPY_PT036::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q022,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,022,6,45,ac9c33c83afbe6f98655c47738220f04fededa6c90fe08383f42a136d154ce1d,cc5b9b5d22ef8fed84caaed29216eb24fd2dd0bd8b438962c6a7b58a06835209,직각삼각형의 닮음의 응용,30cm²,area,M2_SIMPY_PT035,,M2_SIMPY_C012,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,60,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT035,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT035__M2SIMPY150S04_Q022,M2_SIMPY_PT035::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q023,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,023,6,45,e7ca85fcf0ba45e6332bec9eab7d2cf666f4130852ebf7045a7caad3b9369f0d,7468bcb9393365ff21a83fcf4c06ef43a201f2582fe534f0e6c912f544e0e47c,직각삼각형의 닮음의 응용,75cm²,area,M2_SIMPY_PT035,,M2_SIMPY_C012,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,61,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT035,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT035__M2SIMPY150S04_Q023,M2_SIMPY_PT035::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q024,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,024,6,45,e8cdfdd341fd3bd83fda03679bbb0d436ad0035e07d3134d68a6de0bd3a33474,079b29db604fb93373c011f8820ce48d0cbd47c45363d2abecab7a3b826877e9,종이접기와 삼각형의 닮음,35/2cm,length,M2_SIMPY_PT038,,M2_SIMPY_C013,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,68,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT038,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT038__M2SIMPY150S04_Q024,M2_SIMPY_PT038::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q025,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,025,7,45,b2227fd766f71892f01ccc0b5523bbdaa4104aaaf0619a579016ba90cea808fb,5e3b2a2591814739e6e5ec8292dc0aef59b29553df39aab5e5b7ca56a3d0159f,종이접기와 삼각형의 닮음,78/5cm,length,M2_SIMPY_PT038,,M2_SIMPY_C013,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,68,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT038,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT038__M2SIMPY150S04_Q025,M2_SIMPY_PT038::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q026,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,026,7,45,4be721c9e5e69b55da81b9b04d44e1f59c405d677572db87c46498e592434f8b,d95e6d846b78669d372fb4f3763a2670e7a8e17f4ffe5825bd1a8c99b0e2fdc6,삼각형에서 평행선 사이의 선분의 길이의 비(1) 한 각이 공통각인 두 삼각형,choice:2,single_choice,M2_SIMPY_PT040,,M2_SIMPY_C014,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,77,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT040,variant,parallel_line_ratio_diagram,5,평행 표시에서 같은 각을 찾아 닮은 삼각형을 확정한 뒤 대응변의 비례식을 쓴다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,parallel_lines|segment_ratio|proportion|triangle_similarity|angle_bisector,M2_SIMPY_PT040__M2SIMPY150S04_Q026,M2_SIMPY_PT040::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q027,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,027,7,45,3a541024743b97861bf74a16ccb546e649833ad90b74f581b87ba9a66c33e9f6,a5c44ed65a9c46acdbb7d2b603307b5a16d5a37f58f2be30f0ef7a6e1bffe2ce,삼각형에서 평행선 사이의 선분의 길이의 비(1) 한 각이 공통각인 두 삼각형,32/3cm,length,M2_SIMPY_PT042,,M2_SIMPY_C014,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,59,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT042,variant,parallel_line_ratio_diagram,6,평행 표시에서 같은 각을 찾아 닮은 삼각형을 확정한 뒤 대응변의 비례식을 쓴다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,parallel_lines|segment_ratio|proportion|triangle_similarity|angle_bisector,M2_SIMPY_PT042__M2SIMPY150S04_Q027,M2_SIMPY_PT042::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
