keyword,major_count,majors,major_groups,primary_cluster,primary_cluster_label,recommended_subject_groups,preferred_methods,preferred_outputs,preferred_report_modes,assessment_focus,topic_noun,recommended_evidence,route_confidence
CAD-CAM,1,기계공학,기계·모빌리티·건설,design_manufacturing,설계·제작·공정,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
CCPM모형,1,산업공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
CCPM활용사례,1,산업공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
CFD,1,항공학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Color Diagnostic,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Coulomb의 법칙,1,물리학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
Creative Hair Coloring,1,뷰티아트,생명·의료·생활,data_ai_software,데이터·AI·소프트웨어,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
C언어,4,기계공학 | 반도체 세라믹공학 | 응용소프트웨어 | 전기공학,AI·SW·전자 | 기계·모빌리티·건설,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형 | 보고서작성형,프로그램 | 탐구보고서 | 발표자료 | 설계보고서,프로그래밍구현형 | 자료해석형 | 공학설계형 | 원리적용형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,high
C프로그래밍,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
DC(직류전압),1,반도체 세라믹공학,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
DES (데이터 암호화 표준),1,정보통신공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
DNA 마커,1,농업학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DNA 복제,1,생명과학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DNA 저장 장치,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DNA 정보 은닉,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DNA 코딩,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DNA 프로필,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DPF기술,1,자동차공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
DSP,1,전자공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Doppler 효과,1,물리학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
D램,1,반도체 세라믹공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
ECM공법,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
EDA툴,1,지능형 반도체,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
EDS 공정,1,반도체 세라믹공학,AI·SW·전자,design_manufacturing,설계·제작·공정,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
EIS,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Einstein,1,물리학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Electrical Treatment,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
FPGA,1,지능형 반도체,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
FPSO,1,해양공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
FTP 클라이언트,1,응용소프트웨어,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Fashion Make-up,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
GIS,2,도시공학 | 조경학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,medium
GMO,1,생명공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
GNSS에 의한 지적측량,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
GPGPU,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
