item_id,source_id,source_title,source_file,source_chapter,source_unit,source_step,source_theme_range,source_question_no,engine_subject,engine_unit_id,engine_unit_name,matched_problem_type_id,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,diagnosis_weight,mapping_status,review_note
sibal_alg_t05_08_step1_q001,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q001,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q012,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q012,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q013,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q013,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q014,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q014,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q015,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q015,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q016,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q016,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q017,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q017,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q018,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q018,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q019,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q019,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q020,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q020,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t05_08_step1_q021,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,STEP1-T05_08-Q021,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,SIBAL_ALG_T05_08_GRAPH,graph_translation; domain_range; monotonicity,그래프 평행이동 해석; 정의역·치역 확인; 증가·감소 조건 판단,밑의 크기에 따른 증가감소 혼동; 정의역/치역 누락; 그래프 절편 해석 오류,함수의 그래프; 지수와 로그의 뜻; 일차/이차함수 그래프 해석,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q001,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q001,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q002,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q002,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q003,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q003,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q004,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q004,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q005,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q005,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t09_13_step1_q006,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,STEP1-T09_13-Q006,대수,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,SIBAL_ALG_T09_13_EQ_INEQ,equation; inequality; application,지수방정식/로그방정식 변형; 진수 조건 검산; 그래프와 부등식 연결,로그방정식 진수조건 검산 누락; 밑 범위에 따른 부등호 방향 혼동; 그래프 교점 조건 해석 오류,방정식과 부등식; 로그의 조건; 함수 그래프 교점,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
